Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 5, 2023",Crvena Zvezda Belgrade,LDLC ASVEL,94,73,1
"Oct 5, 2023",Maccabi Tel Aviv,Partizan,96,81,1
"Oct 5, 2023",Segafredo Bologna,Zalgiris Kaunas,79,82,0
"Oct 5, 2023",FC Bayern München,ALBA Berlin,80,68,1
"Oct 5, 2023",FC Barcelona,Anadolu Efes Istanbul,91,74,1
"Oct 6, 2023",Fenerbahce BEKO,EA7 Milano,85,82,1
"Oct 6, 2023",Panathinaikos Athens,Olympiacos Piraeus,78,88,0
"Oct 6, 2023",Valencia Basket,AS Monaco,70,65,1
"Oct 6, 2023",Baskonia,Real Madrid,77,79,0
"Oct 12, 2023",Anadolu Efes Istanbul,Real Madrid,80,103,0
"Oct 12, 2023",ALBA Berlin,Baskonia,86,91,0
"Oct 12, 2023",LDLC ASVEL,Partizan,62,88,0
"Oct 12, 2023",Panathinaikos Athens,FC Bayern München,78,71,1
"Oct 13, 2023",AS Monaco,Segafredo Bologna,59,83,0
"Oct 13, 2023",Zalgiris Kaunas,Crvena Zvezda Belgrade,79,74,1
"Oct 13, 2023",Olympiacos Piraeus,FC Barcelona,68,77,0
"Oct 13, 2023",Valencia Basket,Fenerbahce BEKO,77,74,1
"Oct 17, 2023",Partizan,FC Barcelona,83,92,0
"Oct 17, 2023",Fenerbahce BEKO,Panathinaikos Athens,83,69,1
"Oct 17, 2023",Anadolu Efes Istanbul,LDLC ASVEL,89,84,1
"Oct 17, 2023",Baskonia,FC Bayern München,68,76,0
"Oct 17, 2023",Real Madrid,Zalgiris Kaunas,93,79,1
"Oct 17, 2023",EA7 Milano,Olympiacos Piraeus,65,53,1
"Oct 18, 2023",Crvena Zvezda Belgrade,AS Monaco,76,82,0
"Oct 18, 2023",Valencia Basket,Maccabi Tel Aviv,75,66,1
"Oct 18, 2023",Segafredo Bologna,ALBA Berlin,87,76,1
"Oct 19, 2023",Fenerbahce BEKO,LDLC ASVEL,101,86,1
"Oct 19, 2023",Olympiacos Piraeus,Partizan,98,94,1
"Oct 19, 2023",Baskonia,Zalgiris Kaunas,82,99,0
"Oct 19, 2023",Real Madrid,EA7 Milano,88,71,1
"Oct 20, 2023",AS Monaco,ALBA Berlin,86,75,1
"Oct 20, 2023",Anadolu Efes Istanbul,Valencia Basket,77,73,1
"Oct 20, 2023",Panathinaikos Athens,Maccabi Tel Aviv,81,86,0
"Oct 20, 2023",Segafredo Bologna,Crvena Zvezda Belgrade,85,79,1
"Oct 20, 2023",FC Barcelona,FC Bayern München,98,59,1
"Oct 26, 2023",Partizan,Crvena Zvezda Belgrade,88,86,1
"Oct 26, 2023",ALBA Berlin,EA7 Milano,85,82,1
"Oct 26, 2023",Real Madrid,FC Barcelona,65,64,1
"Oct 26, 2023",AS Monaco,Maccabi Tel Aviv,107,79,1
"Oct 26, 2023",Olympiacos Piraeus,Anadolu Efes Istanbul,75,57,1
"Oct 27, 2023",Zalgiris Kaunas,Valencia Basket,72,87,0
"Oct 27, 2023",LDLC ASVEL,Segafredo Bologna,84,87,0
"Oct 27, 2023",Panathinaikos Athens,Baskonia,95,81,1
"Oct 27, 2023",FC Bayern München,Fenerbahce BEKO,67,76,0
"Oct 31, 2023",EA7 Milano,Maccabi Tel Aviv,90,98,0
"Nov 2, 2023",Crvena Zvezda Belgrade,FC Bayern München,74,68,1
"Nov 2, 2023",Fenerbahce BEKO,Olympiacos Piraeus,79,77,1
"Nov 2, 2023",Zalgiris Kaunas,LDLC ASVEL,88,91,0
"Nov 2, 2023",EA7 Milano,AS Monaco,66,72,0
"Nov 2, 2023",Valencia Basket,ALBA Berlin,79,71,1
"Nov 3, 2023",Segafredo Bologna,Anadolu Efes Istanbul,93,81,1
"Nov 3, 2023",Baskonia,Partizan,84,83,1
"Nov 3, 2023",FC Barcelona,Panathinaikos Athens,80,72,1
"Nov 9, 2023",Olympiacos Piraeus,Baskonia,74,75,0
"Nov 9, 2023",Anadolu Efes Istanbul,Zalgiris Kaunas,86,82,1
"Nov 9, 2023",Maccabi Tel Aviv,FC Bayern München,93,90,1
"Nov 9, 2023",Partizan,Fenerbahce BEKO,85,84,1
"Nov 9, 2023",EA7 Milano,Valencia Basket,83,52,1
"Nov 9, 2023",Real Madrid,Segafredo Bologna,100,74,1
"Nov 10, 2023",ALBA Berlin,Panathinaikos Athens,85,99,0
"Nov 10, 2023",FC Barcelona,Crvena Zvezda Belgrade,86,81,1
"Nov 10, 2023",AS Monaco,LDLC ASVEL,80,70,1
"Nov 14, 2023",AS Monaco,Anadolu Efes Istanbul,82,89,0
"Nov 14, 2023",Maccabi Tel Aviv,Olympiacos Piraeus,74,79,0
"Nov 14, 2023",Segafredo Bologna,EA7 Milano,86,79,1
"Nov 14, 2023",Valencia Basket,Real Madrid,73,76,0
"Nov 14, 2023",Crvena Zvezda Belgrade,Fenerbahce BEKO,87,56,1
"Nov 15, 2023",ALBA Berlin,LDLC ASVEL,68,73,0
"Nov 15, 2023",Panathinaikos Athens,Zalgiris Kaunas,73,71,1
"Nov 15, 2023",Baskonia,FC Barcelona,94,71,1
"Nov 15, 2023",FC Bayern München,Partizan,94,85,1
"Nov 16, 2023",Maccabi Tel Aviv,Fenerbahce BEKO,78,73,1
"Nov 16, 2023",Olympiacos Piraeus,Crvena Zvezda Belgrade,88,83,1
"Nov 16, 2023",EA7 Milano,Anadolu Efes Istanbul,92,76,1
"Nov 16, 2023",Real Madrid,AS Monaco,91,73,1
"Nov 17, 2023",Zalgiris Kaunas,FC Bayern München,74,73,1
"Nov 17, 2023",LDLC ASVEL,Baskonia,81,88,0
"Nov 17, 2023",Panathinaikos Athens,Segafredo Bologna,90,76,1
"Nov 17, 2023",FC Barcelona,Valencia Basket,74,70,1
"Nov 17, 2023",Partizan,ALBA Berlin,89,74,1
"Nov 23, 2023",LDLC ASVEL,FC Bayern München,100,101,0
"Nov 23, 2023",Maccabi Tel Aviv,FC Barcelona,90,92,0
"Nov 23, 2023",Panathinaikos Athens,Valencia Basket,90,73,1
"Nov 23, 2023",Segafredo Bologna,Fenerbahce BEKO,87,79,1
"Nov 23, 2023",Real Madrid,ALBA Berlin,99,75,1
"Nov 24, 2023",Anadolu Efes Istanbul,Partizan,100,94,1
"Nov 24, 2023",Olympiacos Piraeus,Zalgiris Kaunas,89,72,1
"Nov 24, 2023",Baskonia,AS Monaco,75,77,0
"Nov 24, 2023",Crvena Zvezda Belgrade,EA7 Milano,71,93,0
"Nov 28, 2023",Maccabi Tel Aviv,Real Madrid,70,99,0
"Nov 30, 2023",Fenerbahce BEKO,Real Madrid,100,99,1
"Nov 30, 2023",AS Monaco,Olympiacos Piraeus,85,77,1
"Nov 30, 2023",Maccabi Tel Aviv,ALBA Berlin,102,81,1
"Nov 30, 2023",EA7 Milano,Zalgiris Kaunas,70,83,0
"Nov 30, 2023",FC Bayern München,Segafredo Bologna,90,76,1
"Nov 30, 2023",Partizan,Panathinaikos Athens,92,87,1
"Dec 1, 2023",Crvena Zvezda Belgrade,Anadolu Efes Istanbul,97,83,1
