Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 11, 2012",CSKA Moscow,Rytas Vilnius,75,73,1
"Oct 11, 2012",Zalgiris Kaunas,Cedevita Zagreb,90,62,1
"Oct 11, 2012",Chebolletta Cantù,Petrol Olimpjia,71,84,0
"Oct 11, 2012",Elan Chalon,Asseco Arka Gdynia,81,74,1
"Oct 11, 2012",Olympiacos Piraeus,Vitoria,85,81,1
"Oct 11, 2012",Fenerbahce BEKO,Khimki Moscow Region,92,80,1
"Oct 11, 2012",Unicaja Malaga,Maccabi Tel Aviv,80,85,0
"Oct 12, 2012",Besiktas S.J.,Partizan,81,65,1
"Oct 12, 2012",Barcelona,Brose Bamberg,72,60,1
"Oct 12, 2012",Ducato Siena,ALBA Berlin,82,92,0
"Oct 12, 2012",EA7 Milano,Anadolu Efes Istanbul,80,75,1
"Oct 12, 2012",Real Madrid,Panathinaikos Athens,85,78,1
"Oct 17, 2012",Asseco Arka Gdynia,Unicaja Malaga,75,77,0
"Oct 18, 2012",Rytas Vilnius,Barcelona,49,67,0
"Oct 18, 2012",Brose Bamberg,Besiktas S.J.,71,86,0
"Oct 18, 2012",ALBA Berlin,Elan Chalon,74,71,1
"Oct 18, 2012",Partizan,CSKA Moscow,71,76,0
"Oct 18, 2012",Panathinaikos Athens,Chebolletta Cantù,78,76,1
"Oct 18, 2012",Maccabi Tel Aviv,Ducato Siena,70,68,1
"Oct 19, 2012",Khimki Moscow Region,Real Madrid,86,85,1
"Oct 19, 2012",Cedevita Zagreb,EA7 Milano,71,83,0
"Oct 19, 2012",Anadolu Efes Istanbul,Olympiacos Piraeus,98,72,1
"Oct 19, 2012",Vitoria,Zalgiris Kaunas,71,77,0
"Oct 19, 2012",Petrol Olimpjia,Fenerbahce BEKO,75,81,0
"Oct 25, 2012",CSKA Moscow,Brose Bamberg,76,67,1
"Oct 25, 2012",Rytas Vilnius,Partizan,69,61,1
"Oct 25, 2012",Fenerbahce BEKO,Real Madrid,75,83,0
"Oct 25, 2012",EA7 Milano,Vitoria,85,95,0
"Oct 25, 2012",Elan Chalon,Maccabi Tel Aviv,61,90,0
