Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 16, 2000",Lugano Tigers,Zadar,75,74,1
"Oct 16, 2000",Teamsystem Bologna,Zalgiris Kaunas,91,85,1
"Oct 16, 2000",Movistar Estudiantes,Peristeri,86,91,0
"Oct 16, 2000",Spirou Basket,St.Petersburg Lions,80,68,1
"Oct 16, 2000",Cibona Zagreb,Vitoria,62,60,1
"Oct 16, 2000",Ovarense GAVEX,Hapoel Jerusalem,82,94,0
"Oct 16, 2000",Benetton Treviso,KK Union Olimpija Ljubljana,69,71,0
"Oct 16, 2000",Buducnost VOLI,Barcelona,77,85,0
"Oct 16, 2000",PAOK mateco,Müller Verona,97,94,1
"Oct 16, 2000",Real Madrid,Olympiacos Piraeus,75,73,1
"Oct 18, 2000",AEK Athens,Kinder Bologna,78,77,1
"Oct 18, 2000",London Towers,Skyliners Frankfurt,86,61,1
"Oct 25, 2000",Zalgiris Kaunas,Movistar Estudiantes,77,80,0
"Oct 25, 2000",Zadar,Teamsystem Bologna,87,91,0
"Oct 25, 2000",Peristeri,Lugano Tigers,85,68,1
"Oct 25, 2000",St.Petersburg Lions,AEK Athens,69,90,0
"Oct 25, 2000",Vitoria,Spirou Basket,76,64,1
"Oct 25, 2000",Kinder Bologna,Cibona Zagreb,106,88,1
"Oct 25, 2000",KK Union Olimpija Ljubljana,Ovarense GAVEX,102,79,1
"Oct 25, 2000",Skyliners Frankfurt,Buducnost VOLI,79,94,0
"Oct 25, 2000",Müller Verona,London Towers,102,76,1
"Oct 25, 2000",Barcelona,PAOK mateco,58,67,0
"Oct 26, 2000",Hapoel Jerusalem,Real Madrid,74,87,0
"Oct 26, 2000",Olympiacos Piraeus,Benetton Treviso,82,73,1
"Nov 1, 2000",PAOK mateco,Skyliners Frankfurt,100,70,1
"Nov 1, 2000",Lugano Tigers,Teamsystem Bologna,72,100,0
"Nov 1, 2000",Movistar Estudiantes,Zadar,93,81,1
"Nov 1, 2000",Peristeri,Zalgiris Kaunas,74,92,0
"Nov 1, 2000",AEK Athens,Spirou Basket,97,73,1
"Nov 1, 2000",Cibona Zagreb,St.Petersburg Lions,75,70,1
"Nov 1, 2000",Vitoria,Kinder Bologna,59,65,0
"Nov 1, 2000",Benetton Treviso,Hapoel Jerusalem,78,71,1
"Nov 1, 2000",Ovarense GAVEX,Real Madrid,73,80,0
"Nov 1, 2000",KK Union Olimpija Ljubljana,Olympiacos Piraeus,69,73,0
"Nov 1, 2000",Müller Verona,Barcelona,94,90,1
"Nov 2, 2000",London Towers,Buducnost VOLI,88,95,0
"Nov 9, 2000",Teamsystem Bologna,Movistar Estudiantes,81,72,1
"Nov 9, 2000",Zadar,Peristeri,79,92,0
"Nov 9, 2000",Lugano Tigers,Zalgiris Kaunas,95,87,1
"Nov 9, 2000",St.Petersburg Lions,Vitoria,79,81,0
"Nov 9, 2000",AEK Athens,Cibona Zagreb,83,75,1
"Nov 9, 2000",Spirou Basket,Kinder Bologna,58,80,0
"Nov 9, 2000",Real Madrid,Benetton Treviso,64,75,0
"Nov 9, 2000",Hapoel Jerusalem,KK Union Olimpija Ljubljana,76,88,0
"Nov 9, 2000",Ovarense GAVEX,Olympiacos Piraeus,53,100,0
"Nov 9, 2000",London Towers,Barcelona,82,97,0
"Nov 9, 2000",Buducnost VOLI,PAOK mateco,83,71,1
"Nov 9, 2000",Skyliners Frankfurt,Müller Verona,80,97,0
"Nov 15, 2000",Zalgiris Kaunas,Zadar,97,85,1
"Nov 15, 2000",Vitoria,AEK Athens,85,65,1
"Nov 15, 2000",Cibona Zagreb,Spirou Basket,85,70,1
"Nov 15, 2000",Kinder Bologna,St.Petersburg Lions,84,78,1
"Nov 15, 2000",Olympiacos Piraeus,Hapoel Jerusalem,102,69,1
"Nov 15, 2000",KK Union Olimpija Ljubljana,Real Madrid,88,79,1
"Nov 15, 2000",Benetton Treviso,Ovarense GAVEX,106,81,1
"Nov 15, 2000",Müller Verona,Buducnost VOLI,86,91,0
"Nov 15, 2000",Barcelona,Skyliners Frankfurt,86,60,1
"Nov 15, 2000",PAOK mateco,London Towers,70,58,1
"Nov 16, 2000",Peristeri,Teamsystem Bologna,83,70,1
"Nov 16, 2000",Movistar Estudiantes,Lugano Tigers,97,76,1
"Dec 6, 2000",St.Petersburg Lions,Spirou Basket,83,77,1
"Dec 6, 2000",Kinder Bologna,AEK Athens,81,66,1
"Dec 6, 2000",Peristeri,Movistar Estudiantes,91,81,1
"Dec 6, 2000",Zalgiris Kaunas,Teamsystem Bologna,73,56,1
"Dec 6, 2000",Zadar,Lugano Tigers,118,79,1
"Dec 6, 2000",Vitoria,Cibona Zagreb,92,66,1
"Dec 6, 2000",Olympiacos Piraeus,Real Madrid,91,84,1
"Dec 6, 2000",Hapoel Jerusalem,Ovarense GAVEX,106,71,1
"Dec 6, 2000",KK Union Olimpija Ljubljana,Benetton Treviso,78,74,1
"Dec 6, 2000",Skyliners Frankfurt,London Towers,79,76,1
"Dec 6, 2000",Müller Verona,PAOK mateco,102,88,1
"Dec 6, 2000",Barcelona,Buducnost VOLI,92,75,1
"Dec 13, 2000",Movistar Estudiantes,Zalgiris Kaunas,87,77,1
"Dec 13, 2000",Teamsystem Bologna,Zadar,81,77,1
"Dec 13, 2000",Lugano Tigers,Peristeri,80,91,0
"Dec 13, 2000",AEK Athens,St.Petersburg Lions,84,73,1
"Dec 13, 2000",Spirou Basket,Vitoria,71,74,0
"Dec 13, 2000",Cibona Zagreb,Kinder Bologna,69,74,0
"Dec 13, 2000",Ovarense GAVEX,KK Union Olimpija Ljubljana,70,92,0
"Dec 13, 2000",Buducnost VOLI,Skyliners Frankfurt,79,73,1
"Dec 13, 2000",London Towers,Müller Verona,89,98,0
"Dec 13, 2000",PAOK mateco,Barcelona,91,102,0
"Dec 14, 2000",Real Madrid,Hapoel Jerusalem,104,64,1
"Dec 14, 2000",Benetton Treviso,Olympiacos Piraeus,95,87,1
"Dec 20, 2000",Teamsystem Bologna,Lugano Tigers,81,66,1
"Dec 20, 2000",Zadar,Movistar Estudiantes,80,72,1
"Dec 20, 2000",Zalgiris Kaunas,Peristeri,86,73,1
"Dec 20, 2000",Spirou Basket,AEK Athens,89,97,0
"Dec 20, 2000",St.Petersburg Lions,Cibona Zagreb,92,90,1
"Dec 20, 2000",Kinder Bologna,Vitoria,76,73,1
"Dec 20, 2000",Hapoel Jerusalem,Benetton Treviso,79,104,0
"Dec 20, 2000",Real Madrid,Ovarense GAVEX,116,94,1
"Dec 20, 2000",Olympiacos Piraeus,KK Union Olimpija Ljubljana,82,70,1
"Dec 20, 2000",Barcelona,Müller Verona,96,84,1
"Dec 20, 2000",Skyliners Frankfurt,PAOK mateco,73,80,0
"Dec 21, 2000",Buducnost VOLI,London Towers,101,83,1
"Jan 10, 2001",Benetton Treviso,Real Madrid,87,88,0
"Jan 10, 2001",Movistar Estudiantes,Teamsystem Bologna,76,90,0
"Jan 10, 2001",Peristeri,Zadar,92,73,1
"Jan 10, 2001",Zalgiris Kaunas,Lugano Tigers,105,89,1
"Jan 10, 2001",Vitoria,St.Petersburg Lions,97,88,1
"Jan 10, 2001",Cibona Zagreb,AEK Athens,72,81,0
"Jan 10, 2001",Kinder Bologna,Spirou Basket,106,87,1
"Jan 10, 2001",KK Union Olimpija Ljubljana,Hapoel Jerusalem,95,68,1
"Jan 10, 2001",Olympiacos Piraeus,Ovarense GAVEX,101,67,1
"Jan 10, 2001",Barcelona,London Towers,82,76,1
"Jan 10, 2001",PAOK mateco,Buducnost VOLI,89,72,1
"Jan 10, 2001",Müller Verona,Skyliners Frankfurt,90,70,1
"Jan 17, 2001",Teamsystem Bologna,Peristeri,71,69,1
"Jan 17, 2001",Lugano Tigers,Movistar Estudiantes,77,76,1
"Jan 17, 2001",Zadar,Zalgiris Kaunas,86,87,0
"Jan 17, 2001",AEK Athens,Vitoria,64,52,1
"Jan 17, 2001",Spirou Basket,Cibona Zagreb,100,91,1
"Jan 17, 2001",St.Petersburg Lions,Kinder Bologna,78,82,0
"Jan 17, 2001",Hapoel Jerusalem,Olympiacos Piraeus,83,70,1
"Jan 17, 2001",Real Madrid,KK Union Olimpija Ljubljana,82,70,1
"Jan 17, 2001",Ovarense GAVEX,Benetton Treviso,76,86,0
"Jan 17, 2001",Buducnost VOLI,Müller Verona,77,73,1
"Jan 17, 2001",Skyliners Frankfurt,Barcelona,51,68,0
"Jan 17, 2001",London Towers,PAOK mateco,61,93,0
"Jan 31, 2001",Teamsystem Bologna,Cibona Zagreb,76,64,1
"Jan 31, 2001",Real Madrid,Buducnost VOLI,91,63,1
"Jan 31, 2001",Kinder Bologna,Movistar Estudiantes,113,70,1
"Jan 31, 2001",PAOK mateco,KK Union Olimpija Ljubljana,75,64,1
"Jan 31, 2001",Olympiacos Piraeus,Müller Verona,94,92,1
"Jan 31, 2001",Peristeri,Vitoria,79,81,0
"Feb 1, 2001",Barcelona,Benetton Treviso,85,86,0
"Feb 1, 2001",AEK Athens,Zalgiris Kaunas,69,60,1
"Feb 7, 2001",Cibona Zagreb,Teamsystem Bologna,74,75,0
"Feb 7, 2001",Buducnost VOLI,Real Madrid,62,76,0
"Feb 7, 2001",Movistar Estudiantes,Kinder Bologna,80,85,0
"Feb 7, 2001",KK Union Olimpija Ljubljana,PAOK mateco,85,77,1
"Feb 7, 2001",Müller Verona,Olympiacos Piraeus,84,96,0
"Feb 7, 2001",Vitoria,Peristeri,81,68,1
"Feb 7, 2001",Benetton Treviso,Barcelona,99,82,1
"Feb 7, 2001",Zalgiris Kaunas,AEK Athens,71,73,0
"Feb 14, 2001",PAOK mateco,KK Union Olimpija Ljubljana,69,73,0
"Feb 22, 2001",Teamsystem Bologna,Real Madrid,74,68,1
"Feb 22, 2001",Kinder Bologna,KK Union Olimpija Ljubljana,80,79,1
"Feb 22, 2001",Olympiacos Piraeus,Vitoria,72,78,0
"Feb 22, 2001",AEK Athens,Benetton Treviso,97,89,1
"Feb 28, 2001",Real Madrid,Teamsystem Bologna,88,57,1
"Feb 28, 2001",KK Union Olimpija Ljubljana,Kinder Bologna,79,81,0
"Feb 28, 2001",Vitoria,Olympiacos Piraeus,98,76,1
"Feb 28, 2001",Benetton Treviso,AEK Athens,90,74,1
"Mar 7, 2001",Teamsystem Bologna,Real Madrid,88,70,1
"Mar 7, 2001",AEK Athens,Benetton Treviso,71,56,1
"Mar 27, 2001",Kinder Bologna,Teamsystem Bologna,103,76,1
"Mar 27, 2001",AEK Athens,Vitoria,67,70,0
"Mar 30, 2001",Kinder Bologna,Teamsystem Bologna,92,84,1
"Mar 30, 2001",AEK Athens,Vitoria,65,90,0
"Apr 3, 2001",Teamsystem Bologna,Kinder Bologna,70,74,0
"Apr 3, 2001",Vitoria,AEK Athens,76,62,1
"Apr 17, 2001",Kinder Bologna,Vitoria,65,78,0
"Apr 19, 2001",Kinder Bologna,Vitoria,94,73,1
"May 1, 2001",Vitoria,Kinder Bologna,60,80,0
"May 3, 2001",Vitoria,Kinder Bologna,96,79,1
"May 10, 2001",Kinder Bologna,Vitoria,82,74,1
