Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Sep 30, 2021",AS Monaco,Panathinaikos Athens,75,63,1
"Sep 30, 2021",Maccabi Tel Aviv,FC Bayern München,69,68,1
"Sep 30, 2021",AX Milano,CSKA Moscow,84,74,1
"Sep 30, 2021",Real Madrid,Anadolu Efes Istanbul,82,69,1
"Oct 1, 2021",UNICS Kazan,Zenit St. Petersburg,69,70,0
"Oct 1, 2021",Fenerbahce BEKO,Crvena Zvezda Belgrade,61,57,1
"Oct 1, 2021",LDLC ASVEL,Zalgiris Kaunas,88,76,1
"Oct 1, 2021",Olympiacos Piraeus,Baskonia,75,50,1
"Oct 1, 2021",FC Barcelona,ALBA Berlin,96,64,1
"Oct 7, 2021",Zalgiris Kaunas,Zenit St. Petersburg,64,70,0
"Oct 7, 2021",Panathinaikos Athens,Fenerbahce BEKO,91,87,1
"Oct 7, 2021",Maccabi Tel Aviv,Crvena Zvezda Belgrade,63,75,0
"Oct 7, 2021",FC Bayern München,FC Barcelona,72,80,0
"Oct 8, 2021",UNICS Kazan,AS Monaco,80,88,0
"Oct 8, 2021",Anadolu Efes Istanbul,CSKA Moscow,96,100,0
"Oct 8, 2021",ALBA Berlin,LDLC ASVEL,67,71,0
"Oct 8, 2021",Olympiacos Piraeus,Real Madrid,74,68,1
"Oct 8, 2021",Baskonia,AX Milano,64,78,0
"Oct 12, 2021",UNICS Kazan,FC Bayern München,73,70,1
"Oct 12, 2021",CSKA Moscow,Zenit St. Petersburg,77,67,1
"Oct 12, 2021",LDLC ASVEL,Anadolu Efes Istanbul,75,73,1
"Oct 12, 2021",ALBA Berlin,Fenerbahce BEKO,84,70,1
"Oct 12, 2021",Baskonia,Panathinaikos Athens,81,79,1
"Oct 12, 2021",AX Milano,Maccabi Tel Aviv,83,72,1
"Oct 13, 2021",Crvena Zvezda Belgrade,Zalgiris Kaunas,73,61,1
"Oct 13, 2021",Real Madrid,AS Monaco,94,86,1
"Oct 13, 2021",FC Barcelona,Olympiacos Piraeus,79,78,1
"Oct 14, 2021",Zenit St. Petersburg,FC Bayern München,79,71,1
"Oct 14, 2021",Fenerbahce BEKO,UNICS Kazan,80,41,1
"Oct 14, 2021",LDLC ASVEL,Maccabi Tel Aviv,85,93,0
"Oct 14, 2021",ALBA Berlin,Baskonia,76,80,0
"Oct 15, 2021",CSKA Moscow,Crvena Zvezda Belgrade,78,76,1
"Oct 15, 2021",AS Monaco,FC Barcelona,81,85,0
"Oct 15, 2021",Olympiacos Piraeus,Zalgiris Kaunas,83,68,1
"Oct 15, 2021",AX Milano,Anadolu Efes Istanbul,75,71,1
"Oct 15, 2021",Real Madrid,Panathinaikos Athens,88,65,1
"Oct 21, 2021",Anadolu Efes Istanbul,UNICS Kazan,71,68,1
"Oct 21, 2021",Zalgiris Kaunas,FC Bayern München,73,75,0
"Oct 21, 2021",Maccabi Tel Aviv,Panathinaikos Athens,77,73,1
"Oct 21, 2021",AX Milano,LDLC ASVEL,73,72,1
"Oct 21, 2021",Real Madrid,Fenerbahce BEKO,70,69,1
"Oct 22, 2021",CSKA Moscow,Olympiacos Piraeus,88,82,1
"Oct 22, 2021",Crvena Zvezda Belgrade,ALBA Berlin,63,78,0
"Oct 22, 2021",Baskonia,AS Monaco,78,66,1
"Oct 22, 2021",FC Barcelona,Zenit St. Petersburg,84,58,1
"Oct 26, 2021",AS Monaco,Crvena Zvezda Belgrade,70,62,1
"Oct 26, 2021",Fenerbahce BEKO,FC Barcelona,74,76,0
"Oct 26, 2021",Olympiacos Piraeus,ALBA Berlin,87,83,1
"Oct 26, 2021",Maccabi Tel Aviv,Zalgiris Kaunas,76,62,1
"Oct 26, 2021",FC Bayern München,AX Milano,83,77,1
"Oct 27, 2021",UNICS Kazan,Baskonia,83,69,1
"Oct 27, 2021",Zenit St. Petersburg,Real Madrid,68,75,0
"Oct 27, 2021",LDLC ASVEL,CSKA Moscow,70,68,1
"Oct 27, 2021",Panathinaikos Athens,Anadolu Efes Istanbul,95,69,1
"Oct 28, 2021",ALBA Berlin,FC Bayern München,69,82,0
"Oct 28, 2021",Olympiacos Piraeus,Fenerbahce BEKO,67,65,1
"Oct 28, 2021",Maccabi Tel Aviv,FC Barcelona,85,68,1
"Oct 28, 2021",AX Milano,Crvena Zvezda Belgrade,79,62,1
"Oct 29, 2021",UNICS Kazan,Real Madrid,65,58,1
"Oct 29, 2021",Zenit St. Petersburg,Baskonia,83,54,1
"Oct 29, 2021",Anadolu Efes Istanbul,Zalgiris Kaunas,94,60,1
"Oct 29, 2021",AS Monaco,CSKA Moscow,97,80,1
"Oct 29, 2021",Panathinaikos Athens,LDLC ASVEL,70,84,0
"Nov 4, 2021",CSKA Moscow,Fenerbahce BEKO,82,91,0
"Nov 4, 2021",Crvena Zvezda Belgrade,Panathinaikos Athens,81,48,1
"Nov 4, 2021",AX Milano,FC Barcelona,75,70,1
"Nov 4, 2021",LDLC ASVEL,UNICS Kazan,85,82,1
"Nov 5, 2021",Anadolu Efes Istanbul,Zenit St. Petersburg,79,90,0
"Nov 5, 2021",Zalgiris Kaunas,ALBA Berlin,71,79,0
"Nov 5, 2021",Olympiacos Piraeus,AS Monaco,86,65,1
"Nov 5, 2021",Baskonia,Maccabi Tel Aviv,69,87,0
"Nov 5, 2021",FC Bayern München,Real Madrid,76,80,0
"Nov 11, 2021",CSKA Moscow,Maccabi Tel Aviv,74,73,1
"Nov 11, 2021",Crvena Zvezda Belgrade,LDLC ASVEL,73,67,1
"Nov 11, 2021",ALBA Berlin,Anadolu Efes Istanbul,63,90,0
"Nov 11, 2021",Panathinaikos Athens,UNICS Kazan,72,74,0
"Nov 11, 2021",FC Barcelona,Baskonia,93,67,1
"Nov 12, 2021",Zenit St. Petersburg,Olympiacos Piraeus,84,78,1
"Nov 12, 2021",Fenerbahce BEKO,AX Milano,43,68,0
"Nov 12, 2021",AS Monaco,FC Bayern München,94,71,1
"Nov 12, 2021",Real Madrid,Zalgiris Kaunas,95,82,1
"Nov 16, 2021",Zalgiris Kaunas,Panathinaikos Athens,76,69,1
"Nov 16, 2021",LDLC ASVEL,Real Madrid,74,87,0
"Nov 16, 2021",Baskonia,Crvena Zvezda Belgrade,93,74,1
"Nov 16, 2021",FC Bayern München,Fenerbahce BEKO,71,63,1
"Nov 17, 2021",Zenit St. Petersburg,ALBA Berlin,75,66,1
"Nov 17, 2021",UNICS Kazan,AX Milano,97,71,1
"Nov 17, 2021",Anadolu Efes Istanbul,Olympiacos Piraeus,88,69,1
"Nov 17, 2021",Maccabi Tel Aviv,AS Monaco,95,84,1
"Nov 17, 2021",FC Barcelona,CSKA Moscow,81,73,1
"Nov 18, 2021",FC Bayern München,Panathinaikos Athens,81,78,1
"Nov 18, 2021",Real Madrid,Crvena Zvezda Belgrade,79,67,1
"Nov 19, 2021",UNICS Kazan,ALBA Berlin,85,71,1
"Nov 19, 2021",Anadolu Efes Istanbul,AS Monaco,98,77,1
"Nov 19, 2021",Zenit St. Petersburg,AX Milano,74,70,1
"Nov 19, 2021",Zalgiris Kaunas,Fenerbahce BEKO,86,75,1
"Nov 19, 2021",Olympiacos Piraeus,Maccabi Tel Aviv,90,73,1
"Nov 19, 2021",Baskonia,CSKA Moscow,74,80,0
"Nov 19, 2021",LDLC ASVEL,FC Barcelona,60,80,0
"Nov 25, 2021",CSKA Moscow,FC Bayern München,77,74,1
"Nov 25, 2021",Fenerbahce BEKO,Anadolu Efes Istanbul,84,89,0
"Nov 25, 2021",ALBA Berlin,Maccabi Tel Aviv,91,86,1
"Nov 25, 2021",Panathinaikos Athens,Zenit St. Petersburg,70,64,1
"Nov 25, 2021",Baskonia,Real Madrid,60,88,0
"Nov 26, 2021",Crvena Zvezda Belgrade,UNICS Kazan,78,98,0
"Nov 26, 2021",AS Monaco,LDLC ASVEL,84,85,0
"Nov 26, 2021",AX Milano,Olympiacos Piraeus,72,93,0
"Nov 26, 2021",FC Barcelona,Zalgiris Kaunas,96,73,1
"Dec 2, 2021",CSKA Moscow,Panathinaikos Athens,97,77,1
"Dec 2, 2021",Fenerbahce BEKO,AS Monaco,96,86,1
"Dec 2, 2021",Zalgiris Kaunas,Baskonia,72,68,1
"Dec 2, 2021",FC Bayern München,LDLC ASVEL,73,65,1
"Dec 2, 2021",Real Madrid,Maccabi Tel Aviv,72,70,1
"Dec 3, 2021",UNICS Kazan,Olympiacos Piraeus,84,87,0
"Dec 3, 2021",Anadolu Efes Istanbul,FC Barcelona,93,95,0
"Dec 3, 2021",Zenit St. Petersburg,Crvena Zvezda Belgrade,58,69,0
"Dec 3, 2021",ALBA Berlin,AX Milano,81,76,1
"Dec 9, 2021",Zenit St. Petersburg,Fenerbahce BEKO,80,86,0
"Dec 9, 2021",Crvena Zvezda Belgrade,Olympiacos Piraeus,81,76,1
"Dec 9, 2021",FC Bayern München,Anadolu Efes Istanbul,83,71,1
"Dec 9, 2021",Maccabi Tel Aviv,UNICS Kazan,74,85,0
"Dec 9, 2021",Baskonia,LDLC ASVEL,91,66,1
"Dec 10, 2021",Zalgiris Kaunas,CSKA Moscow,51,73,0
"Dec 10, 2021",AS Monaco,AX Milano,65,71,0
"Dec 10, 2021",Panathinaikos Athens,ALBA Berlin,82,67,1
"Dec 10, 2021",FC Barcelona,Real Madrid,93,80,1
"Dec 14, 2021",Anadolu Efes Istanbul,Baskonia,87,72,1
"Dec 14, 2021",Fenerbahce BEKO,Maccabi Tel Aviv,90,79,1
"Dec 14, 2021",Crvena Zvezda Belgrade,FC Barcelona,69,76,0
"Dec 14, 2021",AX Milano,Panathinaikos Athens,75,54,1
"Dec 14, 2021",Real Madrid,ALBA Berlin,87,64,1
"Dec 15, 2021",CSKA Moscow,UNICS Kazan,67,88,0
"Dec 15, 2021",Zalgiris Kaunas,AS Monaco,98,107,0
"Dec 15, 2021",Olympiacos Piraeus,FC Bayern München,83,60,1
"Dec 15, 2021",LDLC ASVEL,Zenit St. Petersburg,61,71,0
"Dec 16, 2021",Fenerbahce BEKO,Baskonia,75,53,1
"Dec 16, 2021",Panathinaikos Athens,FC Barcelona,82,85,0
"Dec 16, 2021",Maccabi Tel Aviv,Anadolu Efes Istanbul,78,92,0
"Dec 16, 2021",AX Milano,Real Madrid,73,75,0
"Dec 17, 2021",UNICS Kazan,Zalgiris Kaunas,66,53,1
"Dec 17, 2021",AS Monaco,Zenit St. Petersburg,74,85,0
"Dec 17, 2021",ALBA Berlin,CSKA Moscow,90,93,0
"Dec 17, 2021",Olympiacos Piraeus,LDLC ASVEL,89,54,1
"Dec 17, 2021",Crvena Zvezda Belgrade,FC Bayern München,81,78,1
"Dec 22, 2021",Anadolu Efes Istanbul,Crvena Zvezda Belgrade,84,83,1
"Dec 22, 2021",ALBA Berlin,AS Monaco,92,84,1
"Dec 22, 2021",FC Barcelona,UNICS Kazan,111,109,1
"Dec 23, 2021",Zenit St. Petersburg,Maccabi Tel Aviv,73,71,1
"Dec 23, 2021",FC Bayern München,Baskonia,76,81,0
"Dec 23, 2021",Panathinaikos Athens,Olympiacos Piraeus,65,84,0
"Dec 23, 2021",Real Madrid,CSKA Moscow,71,65,1
"Dec 23, 2021",LDLC ASVEL,Fenerbahce BEKO,84,82,1
"Dec 29, 2021",AS Monaco,Maccabi Tel Aviv,82,76,1
"Dec 30, 2021",UNICS Kazan,Anadolu Efes Istanbul,75,67,1
"Dec 30, 2021",Crvena Zvezda Belgrade,Zenit St. Petersburg,76,80,0
"Dec 30, 2021",Baskonia,FC Barcelona,94,75,1
"Jan 11, 2022",Fenerbahce BEKO,Olympiacos Piraeus,94,80,1
"Jan 11, 2022",FC Bayern München,Zalgiris Kaunas,74,65,1
"Jan 11, 2022",FC Barcelona,AX Milano,73,75,0
"Jan 12, 2022",Panathinaikos Athens,CSKA Moscow,74,98,0
"Jan 13, 2022",FC Bayern München,AS Monaco,78,83,0
"Jan 13, 2022",FC Barcelona,Anadolu Efes Istanbul,82,77,1
"Jan 14, 2022",CSKA Moscow,LDLC ASVEL,90,83,1
"Jan 14, 2022",Real Madrid,Baskonia,89,74,1
"Jan 18, 2022",LDLC ASVEL,AS Monaco,75,100,0
"Jan 18, 2022",AX Milano,ALBA Berlin,84,76,1
"Jan 20, 2022",UNICS Kazan,FC Barcelona,70,64,1
"Jan 20, 2022",Zenit St. Petersburg,AS Monaco,77,86,0
"Jan 20, 2022",Fenerbahce BEKO,Zalgiris Kaunas,73,67,1
"Jan 20, 2022",ALBA Berlin,Real Madrid,74,89,0
"Jan 20, 2022",Maccabi Tel Aviv,Olympiacos Piraeus,84,69,1
"Jan 21, 2022",CSKA Moscow,AX Milano,57,67,0
"Jan 21, 2022",Anadolu Efes Istanbul,Panathinaikos Athens,82,81,1
"Jan 21, 2022",Baskonia,FC Bayern München,77,84,0
"Jan 21, 2022",LDLC ASVEL,Crvena Zvezda Belgrade,69,67,1
"Jan 25, 2022",Maccabi Tel Aviv,ALBA Berlin,87,78,1
"Jan 25, 2022",Real Madrid,UNICS Kazan,85,68,1
