Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 16, 2013",Brose Bamberg,Strasbourg,84,70,1
"Oct 16, 2013",Ducato Siena,Galatasaray,75,84,0
"Oct 17, 2013",Barcelona,Partizan,67,60,1
"Oct 17, 2013",Rytas Vilnius,Panathinaikos Athens,84,83,1
"Oct 17, 2013",Vitoria,Maccabi Tel Aviv,84,80,1
"Oct 17, 2013",Budivelnyk Kyiv,Fenerbahce BEKO,84,102,0
"Oct 17, 2013",Crvena Zvezda Belgrade,Lokomotiv Kuban,84,87,0
"Oct 17, 2013",Anadolu Efes Istanbul,EA7 Milano,87,67,1
"Oct 17, 2013",Nanterre,CSKA Moscow,59,62,0
"Oct 18, 2013",BC Zielona Góra,FC Bayern München,73,94,0
"Oct 18, 2013",Olympiacos Piraeus,Unicaja Malaga,69,61,1
"Oct 18, 2013",Zalgiris Kaunas,Real Madrid,63,83,0
"Oct 24, 2013",Partizan,Nanterre,73,43,1
"Oct 24, 2013",Fenerbahce BEKO,Barcelona,75,70,1
"Oct 24, 2013",Strasbourg,Anadolu Efes Istanbul,66,76,0
"Oct 24, 2013",Galatasaray,Olympiacos Piraeus,67,78,0
"Oct 24, 2013",FC Bayern München,Ducato Siena,89,79,1
"Oct 24, 2013",Unicaja Malaga,BC Zielona Góra,101,68,1
"Oct 24, 2013",Maccabi Tel Aviv,Crvena Zvezda Belgrade,96,82,1
"Oct 24, 2013",Panathinaikos Athens,Vitoria,95,74,1
"Oct 24, 2013",Lokomotiv Kuban,Rytas Vilnius,68,53,1
"Oct 24, 2013",EA7 Milano,Zalgiris Kaunas,82,75,1
"Oct 24, 2013",Real Madrid,Brose Bamberg,98,58,1
"Oct 25, 2013",CSKA Moscow,Budivelnyk Kyiv,72,67,1
"Oct 30, 2013",Fenerbahce BEKO,CSKA Moscow,86,60,1
"Oct 30, 2013",Brose Bamberg,Anadolu Efes Istanbul,88,86,1
"Oct 30, 2013",Unicaja Malaga,Galatasaray,84,57,1
"Oct 30, 2013",Olympiacos Piraeus,FC Bayern München,88,83,1
"Oct 30, 2013",BC Zielona Góra,Ducato Siena,73,65,1
"Oct 30, 2013",Rytas Vilnius,Vitoria,64,85,0
"Oct 30, 2013",Crvena Zvezda Belgrade,Panathinaikos Athens,86,90,0
"Oct 31, 2013",Budivelnyk Kyiv,Partizan,74,69,1
"Oct 31, 2013",Zalgiris Kaunas,Strasbourg,88,64,1
"Oct 31, 2013",Barcelona,Nanterre,67,71,0
"Nov 1, 2013",Lokomotiv Kuban,Maccabi Tel Aviv,58,73,0
"Nov 1, 2013",Real Madrid,EA7 Milano,93,74,1
"Nov 7, 2013",Rytas Vilnius,Maccabi Tel Aviv,74,76,0
"Nov 7, 2013",Vitoria,Crvena Zvezda Belgrade,63,73,0
"Nov 7, 2013",Brose Bamberg,EA7 Milano,62,76,0
"Nov 7, 2013",Anadolu Efes Istanbul,Zalgiris Kaunas,72,61,1
"Nov 7, 2013",Panathinaikos Athens,Lokomotiv Kuban,69,72,0
"Nov 7, 2013",Strasbourg,Real Madrid,66,85,0
"Nov 8, 2013",Partizan,Fenerbahce BEKO,78,88,0
"Nov 8, 2013",BC Zielona Góra,Galatasaray,75,78,0
"Nov 8, 2013",Ducato Siena,Olympiacos Piraeus,62,70,0
"Nov 8, 2013",FC Bayern München,Unicaja Malaga,82,68,1
"Nov 8, 2013",Nanterre,Budivelnyk Kyiv,80,61,1
"Nov 8, 2013",Barcelona,CSKA Moscow,79,70,1
"Nov 13, 2013",Fenerbahce BEKO,Nanterre,83,66,1
"Nov 13, 2013",CSKA Moscow,Partizan,88,46,1
"Nov 13, 2013",Real Madrid,Anadolu Efes Istanbul,103,57,1
"Nov 13, 2013",Unicaja Malaga,Ducato Siena,73,75,0
"Nov 13, 2013",Olympiacos Piraeus,BC Zielona Góra,79,77,1
"Nov 13, 2013",Galatasaray,FC Bayern München,84,74,1
"Nov 13, 2013",Crvena Zvezda Belgrade,Rytas Vilnius,88,77,1
"Nov 14, 2013",Lokomotiv Kuban,Vitoria,85,84,1
"Nov 14, 2013",Zalgiris Kaunas,Brose Bamberg,91,81,1
"Nov 14, 2013",Maccabi Tel Aviv,Panathinaikos Athens,75,68,1
"Nov 14, 2013",Budivelnyk Kyiv,Barcelona,74,84,0
"Nov 15, 2013",EA7 Milano,Strasbourg,83,72,1
"Nov 20, 2013",Partizan,Barcelona,64,82,0
"Nov 20, 2013",Strasbourg,Brose Bamberg,83,72,1
"Nov 20, 2013",Galatasaray,Ducato Siena,54,52,1
"Nov 20, 2013",FC Bayern München,BC Zielona Góra,71,78,0
"Nov 20, 2013",Unicaja Malaga,Olympiacos Piraeus,74,82,0
"Nov 20, 2013",Panathinaikos Athens,Rytas Vilnius,80,72,1
"Nov 20, 2013",Maccabi Tel Aviv,Vitoria,65,70,0
"Nov 21, 2013",CSKA Moscow,Nanterre,72,60,1
"Nov 22, 2013",Lokomotiv Kuban,Crvena Zvezda Belgrade,79,72,1
"Nov 22, 2013",Fenerbahce BEKO,Budivelnyk Kyiv,84,68,1
"Nov 22, 2013",EA7 Milano,Anadolu Efes Istanbul,77,73,1
"Nov 22, 2013",Real Madrid,Zalgiris Kaunas,95,67,1
"Nov 28, 2013",Nanterre,Partizan,62,61,1
"Nov 28, 2013",Barcelona,Fenerbahce BEKO,94,81,1
"Nov 28, 2013",Brose Bamberg,Real Madrid,69,89,0
"Nov 28, 2013",Anadolu Efes Istanbul,Strasbourg,88,65,1
"Nov 28, 2013",Olympiacos Piraeus,Galatasaray,72,54,1
"Nov 28, 2013",BC Zielona Góra,Unicaja Malaga,67,84,0
"Nov 28, 2013",Crvena Zvezda Belgrade,Maccabi Tel Aviv,76,78,0
"Nov 28, 2013",Vitoria,Panathinaikos Athens,79,77,1
"Nov 28, 2013",Rytas Vilnius,Lokomotiv Kuban,53,84,0
"Nov 29, 2013",Budivelnyk Kyiv,CSKA Moscow,74,82,0
"Nov 29, 2013",Zalgiris Kaunas,EA7 Milano,73,71,1
"Nov 29, 2013",Ducato Siena,FC Bayern München,71,62,1
"Dec 5, 2013",Galatasaray,Unicaja Malaga,78,70,1
"Dec 5, 2013",FC Bayern München,Olympiacos Piraeus,103,105,0
"Dec 5, 2013",Ducato Siena,BC Zielona Góra,60,59,1
"Dec 5, 2013",Maccabi Tel Aviv,Lokomotiv Kuban,75,73,1
"Dec 5, 2013",Partizan,Budivelnyk Kyiv,76,61,1
"Dec 5, 2013",Strasbourg,Zalgiris Kaunas,77,76,1
"Dec 5, 2013",EA7 Milano,Real Madrid,71,78,0
"Dec 6, 2013",Nanterre,Barcelona,78,82,0
"Dec 6, 2013",Anadolu Efes Istanbul,Brose Bamberg,78,89,0
