...1,Date,Saison,Home,Away,Punkte Heim,Punkte Gast,Home_W,Punktedifferenz,Zuschauer,Budget_Total,Budget_Spieler
1,2000-10-16,2000/01,Lugano Tigers,Zadar,75,74,1,1,NA,NA,NA
2,2000-10-16,2000/01,Teamsystem Bologna,Zalgiris Kaunas,91,85,1,6,NA,NA,NA
3,2000-10-16,2000/01,Movistar Estudiantes,Peristeri,86,91,0,-5,NA,NA,NA
4,2000-10-16,2000/01,Spirou Basket,St.Petersburg Lions,80,68,1,12,NA,NA,NA
5,2000-10-16,2000/01,Cibona Zagreb,Vitoria,62,60,1,2,NA,NA,NA
6,2000-10-16,2000/01,Ovarense GAVEX,Hapoel Jerusalem,82,94,0,-12,NA,NA,NA
7,2000-10-16,2000/01,Benetton Treviso,KK Union Olimpija Ljubljana,69,71,0,-2,NA,NA,NA
8,2000-10-16,2000/01,Buducnost VOLI,Barcelona,77,85,0,-8,NA,NA,NA
9,2000-10-16,2000/01,PAOK mateco,Müller Verona,97,94,1,3,NA,NA,NA
10,2000-10-16,2000/01,Real Madrid,Olympiacos Piraeus,75,73,1,2,NA,NA,NA
11,2000-10-18,2000/01,AEK Athens,Kinder Bologna,78,77,1,1,NA,NA,NA
12,2000-10-18,2000/01,London Towers,Skyliners Frankfurt,86,61,1,25,NA,NA,NA
13,2000-10-25,2000/01,Zalgiris Kaunas,Movistar Estudiantes,77,80,0,-3,NA,NA,NA
14,2000-10-25,2000/01,Zadar,Teamsystem Bologna,87,91,0,-4,NA,NA,NA
15,2000-10-25,2000/01,Peristeri,Lugano Tigers,85,68,1,17,NA,NA,NA
16,2000-10-25,2000/01,St.Petersburg Lions,AEK Athens,69,90,0,-21,NA,NA,NA
17,2000-10-25,2000/01,Vitoria,Spirou Basket,76,64,1,12,NA,NA,NA
18,2000-10-25,2000/01,Kinder Bologna,Cibona Zagreb,106,88,1,18,NA,NA,NA
19,2000-10-25,2000/01,KK Union Olimpija Ljubljana,Ovarense GAVEX,102,79,1,23,NA,NA,NA
20,2000-10-25,2000/01,Skyliners Frankfurt,Buducnost VOLI,79,94,0,-15,NA,NA,NA
21,2000-10-25,2000/01,Müller Verona,London Towers,102,76,1,26,NA,NA,NA
22,2000-10-25,2000/01,Barcelona,PAOK mateco,58,67,0,-9,NA,NA,NA
23,2000-10-26,2000/01,Hapoel Jerusalem,Real Madrid,74,87,0,-13,NA,NA,NA
24,2000-10-26,2000/01,Olympiacos Piraeus,Benetton Treviso,82,73,1,9,NA,NA,NA
25,2000-11-01,2000/01,PAOK mateco,Skyliners Frankfurt,100,70,1,30,NA,NA,NA
26,2000-11-01,2000/01,Lugano Tigers,Teamsystem Bologna,72,100,0,-28,NA,NA,NA
27,2000-11-01,2000/01,Movistar Estudiantes,Zadar,93,81,1,12,NA,NA,NA
28,2000-11-01,2000/01,Peristeri,Zalgiris Kaunas,74,92,0,-18,NA,NA,NA
29,2000-11-01,2000/01,AEK Athens,Spirou Basket,97,73,1,24,NA,NA,NA
30,2000-11-01,2000/01,Cibona Zagreb,St.Petersburg Lions,75,70,1,5,NA,NA,NA
31,2000-11-01,2000/01,Vitoria,Kinder Bologna,59,65,0,-6,NA,NA,NA
32,2000-11-01,2000/01,Benetton Treviso,Hapoel Jerusalem,78,71,1,7,NA,NA,NA
33,2000-11-01,2000/01,Ovarense GAVEX,Real Madrid,73,80,0,-7,NA,NA,NA
34,2000-11-01,2000/01,KK Union Olimpija Ljubljana,Olympiacos Piraeus,69,73,0,-4,NA,NA,NA
35,2000-11-01,2000/01,Müller Verona,Barcelona,94,90,1,4,NA,NA,NA
36,2000-11-02,2000/01,London Towers,Buducnost VOLI,88,95,0,-7,NA,NA,NA
37,2000-11-09,2000/01,Teamsystem Bologna,Movistar Estudiantes,81,72,1,9,NA,NA,NA
38,2000-11-09,2000/01,Zadar,Peristeri,79,92,0,-13,NA,NA,NA
39,2000-11-09,2000/01,Lugano Tigers,Zalgiris Kaunas,95,87,1,8,NA,NA,NA
40,2000-11-09,2000/01,St.Petersburg Lions,Vitoria,79,81,0,-2,NA,NA,NA
41,2000-11-09,2000/01,AEK Athens,Cibona Zagreb,83,75,1,8,NA,NA,NA
42,2000-11-09,2000/01,Spirou Basket,Kinder Bologna,58,80,0,-22,NA,NA,NA
43,2000-11-09,2000/01,Real Madrid,Benetton Treviso,64,75,0,-11,NA,NA,NA
44,2000-11-09,2000/01,Hapoel Jerusalem,KK Union Olimpija Ljubljana,76,88,0,-12,NA,NA,NA
45,2000-11-09,2000/01,Ovarense GAVEX,Olympiacos Piraeus,53,100,0,-47,NA,NA,NA
46,2000-11-09,2000/01,London Towers,Barcelona,82,97,0,-15,NA,NA,NA
47,2000-11-09,2000/01,Buducnost VOLI,PAOK mateco,83,71,1,12,NA,NA,NA
48,2000-11-09,2000/01,Skyliners Frankfurt,Müller Verona,80,97,0,-17,NA,NA,NA
49,2000-11-15,2000/01,Zalgiris Kaunas,Zadar,97,85,1,12,NA,NA,NA
50,2000-11-15,2000/01,Vitoria,AEK Athens,85,65,1,20,NA,NA,NA
51,2000-11-15,2000/01,Cibona Zagreb,Spirou Basket,85,70,1,15,NA,NA,NA
52,2000-11-15,2000/01,Kinder Bologna,St.Petersburg Lions,84,78,1,6,NA,NA,NA
53,2000-11-15,2000/01,Olympiacos Piraeus,Hapoel Jerusalem,102,69,1,33,NA,NA,NA
54,2000-11-15,2000/01,KK Union Olimpija Ljubljana,Real Madrid,88,79,1,9,NA,NA,NA
55,2000-11-15,2000/01,Benetton Treviso,Ovarense GAVEX,106,81,1,25,NA,NA,NA
56,2000-11-15,2000/01,Müller Verona,Buducnost VOLI,86,91,0,-5,NA,NA,NA
57,2000-11-15,2000/01,Barcelona,Skyliners Frankfurt,86,60,1,26,NA,NA,NA
58,2000-11-15,2000/01,PAOK mateco,London Towers,70,58,1,12,NA,NA,NA
59,2000-11-16,2000/01,Peristeri,Teamsystem Bologna,83,70,1,13,NA,NA,NA
60,2000-11-16,2000/01,Movistar Estudiantes,Lugano Tigers,97,76,1,21,NA,NA,NA
61,2000-12-06,2000/01,St.Petersburg Lions,Spirou Basket,83,77,1,6,NA,NA,NA
62,2000-12-06,2000/01,Kinder Bologna,AEK Athens,81,66,1,15,NA,NA,NA
63,2000-12-06,2000/01,Peristeri,Movistar Estudiantes,91,81,1,10,NA,NA,NA
64,2000-12-06,2000/01,Zalgiris Kaunas,Teamsystem Bologna,73,56,1,17,NA,NA,NA
65,2000-12-06,2000/01,Zadar,Lugano Tigers,118,79,1,39,NA,NA,NA
66,2000-12-06,2000/01,Vitoria,Cibona Zagreb,92,66,1,26,NA,NA,NA
67,2000-12-06,2000/01,Olympiacos Piraeus,Real Madrid,91,84,1,7,NA,NA,NA
68,2000-12-06,2000/01,Hapoel Jerusalem,Ovarense GAVEX,106,71,1,35,NA,NA,NA
69,2000-12-06,2000/01,KK Union Olimpija Ljubljana,Benetton Treviso,78,74,1,4,NA,NA,NA
70,2000-12-06,2000/01,Skyliners Frankfurt,London Towers,79,76,1,3,NA,NA,NA
71,2000-12-06,2000/01,Müller Verona,PAOK mateco,102,88,1,14,NA,NA,NA
72,2000-12-06,2000/01,Barcelona,Buducnost VOLI,92,75,1,17,NA,NA,NA
73,2000-12-13,2000/01,Movistar Estudiantes,Zalgiris Kaunas,87,77,1,10,NA,NA,NA
74,2000-12-13,2000/01,Teamsystem Bologna,Zadar,81,77,1,4,NA,NA,NA
75,2000-12-13,2000/01,Lugano Tigers,Peristeri,80,91,0,-11,NA,NA,NA
76,2000-12-13,2000/01,AEK Athens,St.Petersburg Lions,84,73,1,11,NA,NA,NA
77,2000-12-13,2000/01,Spirou Basket,Vitoria,71,74,0,-3,NA,NA,NA
78,2000-12-13,2000/01,Cibona Zagreb,Kinder Bologna,69,74,0,-5,NA,NA,NA
79,2000-12-13,2000/01,Ovarense GAVEX,KK Union Olimpija Ljubljana,70,92,0,-22,NA,NA,NA
80,2000-12-13,2000/01,Buducnost VOLI,Skyliners Frankfurt,79,73,1,6,NA,NA,NA
81,2000-12-13,2000/01,London Towers,Müller Verona,89,98,0,-9,NA,NA,NA
82,2000-12-13,2000/01,PAOK mateco,Barcelona,91,102,0,-11,NA,NA,NA
83,2000-12-14,2000/01,Real Madrid,Hapoel Jerusalem,104,64,1,40,NA,NA,NA
84,2000-12-14,2000/01,Benetton Treviso,Olympiacos Piraeus,95,87,1,8,NA,NA,NA
85,2000-12-20,2000/01,Teamsystem Bologna,Lugano Tigers,81,66,1,15,NA,NA,NA
86,2000-12-20,2000/01,Zadar,Movistar Estudiantes,80,72,1,8,NA,NA,NA
87,2000-12-20,2000/01,Zalgiris Kaunas,Peristeri,86,73,1,13,NA,NA,NA
88,2000-12-20,2000/01,Spirou Basket,AEK Athens,89,97,0,-8,NA,NA,NA
89,2000-12-20,2000/01,St.Petersburg Lions,Cibona Zagreb,92,90,1,2,NA,NA,NA
90,2000-12-20,2000/01,Kinder Bologna,Vitoria,76,73,1,3,NA,NA,NA
91,2000-12-20,2000/01,Hapoel Jerusalem,Benetton Treviso,79,104,0,-25,NA,NA,NA
92,2000-12-20,2000/01,Real Madrid,Ovarense GAVEX,116,94,1,22,NA,NA,NA
93,2000-12-20,2000/01,Olympiacos Piraeus,KK Union Olimpija Ljubljana,82,70,1,12,NA,NA,NA
94,2000-12-20,2000/01,Barcelona,Müller Verona,96,84,1,12,NA,NA,NA
95,2000-12-20,2000/01,Skyliners Frankfurt,PAOK mateco,73,80,0,-7,NA,NA,NA
96,2000-12-21,2000/01,Buducnost VOLI,London Towers,101,83,1,18,NA,NA,NA
97,2001-01-10,2000/01,Benetton Treviso,Real Madrid,87,88,0,-1,NA,NA,NA
98,2001-01-10,2000/01,Movistar Estudiantes,Teamsystem Bologna,76,90,0,-14,NA,NA,NA
99,2001-01-10,2000/01,Peristeri,Zadar,92,73,1,19,NA,NA,NA
100,2001-01-10,2000/01,Zalgiris Kaunas,Lugano Tigers,105,89,1,16,NA,NA,NA
101,2001-01-10,2000/01,Vitoria,St.Petersburg Lions,97,88,1,9,NA,NA,NA
102,2001-01-10,2000/01,Cibona Zagreb,AEK Athens,72,81,0,-9,NA,NA,NA
103,2001-01-10,2000/01,Kinder Bologna,Spirou Basket,106,87,1,19,NA,NA,NA
104,2001-01-10,2000/01,KK Union Olimpija Ljubljana,Hapoel Jerusalem,95,68,1,27,NA,NA,NA
105,2001-01-10,2000/01,Olympiacos Piraeus,Ovarense GAVEX,101,67,1,34,NA,NA,NA
106,2001-01-10,2000/01,Barcelona,London Towers,82,76,1,6,NA,NA,NA
107,2001-01-10,2000/01,PAOK mateco,Buducnost VOLI,89,72,1,17,NA,NA,NA
108,2001-01-10,2000/01,Müller Verona,Skyliners Frankfurt,90,70,1,20,NA,NA,NA
109,2001-01-17,2000/01,Teamsystem Bologna,Peristeri,71,69,1,2,NA,NA,NA
110,2001-01-17,2000/01,Lugano Tigers,Movistar Estudiantes,77,76,1,1,NA,NA,NA
111,2001-01-17,2000/01,Zadar,Zalgiris Kaunas,86,87,0,-1,NA,NA,NA
112,2001-01-17,2000/01,AEK Athens,Vitoria,64,52,1,12,NA,NA,NA
113,2001-01-17,2000/01,Spirou Basket,Cibona Zagreb,100,91,1,9,NA,NA,NA
114,2001-01-17,2000/01,St.Petersburg Lions,Kinder Bologna,78,82,0,-4,NA,NA,NA
115,2001-01-17,2000/01,Hapoel Jerusalem,Olympiacos Piraeus,83,70,1,13,NA,NA,NA
116,2001-01-17,2000/01,Real Madrid,KK Union Olimpija Ljubljana,82,70,1,12,NA,NA,NA
117,2001-01-17,2000/01,Ovarense GAVEX,Benetton Treviso,76,86,0,-10,NA,NA,NA
118,2001-01-17,2000/01,Buducnost VOLI,Müller Verona,77,73,1,4,NA,NA,NA
119,2001-01-17,2000/01,Skyliners Frankfurt,Barcelona,51,68,0,-17,NA,NA,NA
120,2001-01-17,2000/01,London Towers,PAOK mateco,61,93,0,-32,NA,NA,NA
121,2001-01-31,2000/01,Teamsystem Bologna,Cibona Zagreb,76,64,1,12,NA,NA,NA
122,2001-01-31,2000/01,Real Madrid,Buducnost VOLI,91,63,1,28,NA,NA,NA
123,2001-01-31,2000/01,Kinder Bologna,Movistar Estudiantes,113,70,1,43,NA,NA,NA
124,2001-01-31,2000/01,PAOK mateco,KK Union Olimpija Ljubljana,75,64,1,11,NA,NA,NA
125,2001-01-31,2000/01,Olympiacos Piraeus,Müller Verona,94,92,1,2,NA,NA,NA
126,2001-01-31,2000/01,Peristeri,Vitoria,79,81,0,-2,NA,NA,NA
127,2001-02-01,2000/01,Barcelona,Benetton Treviso,85,86,0,-1,NA,NA,NA
128,2001-02-01,2000/01,AEK Athens,Zalgiris Kaunas,69,60,1,9,NA,NA,NA
129,2001-02-07,2000/01,Cibona Zagreb,Teamsystem Bologna,74,75,0,-1,NA,NA,NA
130,2001-02-07,2000/01,Buducnost VOLI,Real Madrid,62,76,0,-14,NA,NA,NA
131,2001-02-07,2000/01,Movistar Estudiantes,Kinder Bologna,80,85,0,-5,NA,NA,NA
132,2001-02-07,2000/01,KK Union Olimpija Ljubljana,PAOK mateco,85,77,1,8,NA,NA,NA
133,2001-02-07,2000/01,Müller Verona,Olympiacos Piraeus,84,96,0,-12,NA,NA,NA
134,2001-02-07,2000/01,Vitoria,Peristeri,81,68,1,13,NA,NA,NA
135,2001-02-07,2000/01,Benetton Treviso,Barcelona,99,82,1,17,NA,NA,NA
136,2001-02-07,2000/01,Zalgiris Kaunas,AEK Athens,71,73,0,-2,NA,NA,NA
137,2001-02-14,2000/01,PAOK mateco,KK Union Olimpija Ljubljana,69,73,0,-4,NA,NA,NA
138,2001-02-22,2000/01,Teamsystem Bologna,Real Madrid,74,68,1,6,NA,NA,NA
139,2001-02-22,2000/01,Kinder Bologna,KK Union Olimpija Ljubljana,80,79,1,1,NA,NA,NA
140,2001-02-22,2000/01,Olympiacos Piraeus,Vitoria,72,78,0,-6,NA,NA,NA
141,2001-02-22,2000/01,AEK Athens,Benetton Treviso,97,89,1,8,NA,NA,NA
142,2001-02-28,2000/01,Real Madrid,Teamsystem Bologna,88,57,1,31,NA,NA,NA
143,2001-02-28,2000/01,KK Union Olimpija Ljubljana,Kinder Bologna,79,81,0,-2,NA,NA,NA
144,2001-02-28,2000/01,Vitoria,Olympiacos Piraeus,98,76,1,22,NA,NA,NA
145,2001-02-28,2000/01,Benetton Treviso,AEK Athens,90,74,1,16,NA,NA,NA
146,2001-03-07,2000/01,Teamsystem Bologna,Real Madrid,88,70,1,18,NA,NA,NA
147,2001-03-07,2000/01,AEK Athens,Benetton Treviso,71,56,1,15,NA,NA,NA
148,2001-03-27,2000/01,Kinder Bologna,Teamsystem Bologna,103,76,1,27,NA,NA,NA
149,2001-03-27,2000/01,AEK Athens,Vitoria,67,70,0,-3,NA,NA,NA
150,2001-03-30,2000/01,Kinder Bologna,Teamsystem Bologna,92,84,1,8,NA,NA,NA
151,2001-03-30,2000/01,AEK Athens,Vitoria,65,90,0,-25,NA,NA,NA
152,2001-04-03,2000/01,Teamsystem Bologna,Kinder Bologna,70,74,0,-4,NA,NA,NA
153,2001-04-03,2000/01,Vitoria,AEK Athens,76,62,1,14,NA,NA,NA
154,2001-04-17,2000/01,Kinder Bologna,Vitoria,65,78,0,-13,NA,NA,NA
155,2001-04-19,2000/01,Kinder Bologna,Vitoria,94,73,1,21,NA,NA,NA
156,2001-05-01,2000/01,Vitoria,Kinder Bologna,60,80,0,-20,NA,NA,NA
157,2001-05-03,2000/01,Vitoria,Kinder Bologna,96,79,1,17,NA,NA,NA
158,2001-05-10,2000/01,Kinder Bologna,Vitoria,82,74,1,8,NA,NA,NA
159,2001-10-10,2001/02,Benetton Treviso,Unicaja Malaga,98,94,1,4,NA,NA,NA
160,2001-10-10,2001/02,Spirou Basket,WKS Slask Wroclaw,53,71,0,-18,NA,NA,NA
161,2001-10-10,2001/02,Trabzonspor,London Towers,107,64,1,43,NA,NA,NA
162,2001-10-10,2001/02,KK Union Olimpija Ljubljana,Peristeri,81,74,1,7,NA,NA,NA
163,2001-10-10,2001/02,Skyliners Frankfurt,Barcelona,74,88,0,-14,NA,NA,NA
164,2001-10-10,2001/02,Pau-Lacq-Orthez,CSKA Moscow,91,83,1,8,NA,NA,NA
165,2001-10-10,2001/02,Panathinaikos Athens,Teamsystem Bologna,81,70,1,11,NA,NA,NA
166,2001-10-10,2001/02,Buducnost VOLI,Real Madrid,72,82,0,-10,NA,NA,NA
167,2001-10-10,2001/02,Krka Novo Mesto,Zadar,91,94,0,-3,NA,NA,NA
168,2001-10-10,2001/02,Partizan,Filou Oostende,86,77,1,9,NA,NA,NA
169,2001-10-10,2001/02,Ural-Great Perm,Pesaro,99,88,1,11,NA,NA,NA
170,2001-10-10,2001/02,Cibona Zagreb,Vitoria,96,95,1,1,NA,NA,NA
171,2001-10-10,2001/02,ASVEL Lyon-Villeurbanne,AEK Athens,86,84,1,2,NA,NA,NA
172,2001-10-10,2001/02,Olympiacos Piraeus,Anadolu Efes Istanbul,87,72,1,15,NA,NA,NA
173,2001-10-11,2001/02,Kinder Bologna,Zalgiris Kaunas,90,54,1,36,NA,NA,NA
174,2001-10-11,2001/02,Maccabi Tel Aviv,ALBA Berlin,82,70,1,12,NA,NA,NA
175,2001-10-17,2001/02,Anadolu Efes Istanbul,Benetton Treviso,87,78,1,9,NA,NA,NA
176,2001-10-18,2001/02,Barcelona,Kinder Bologna,69,85,0,-16,NA,NA,NA
177,2001-10-20,2001/02,ALBA Berlin,Olympiacos Piraeus,69,88,0,-19,NA,NA,NA
178,2001-10-20,2001/02,Unicaja Malaga,Spirou Basket,76,68,1,8,NA,NA,NA
179,2001-10-20,2001/02,WKS Slask Wroclaw,Maccabi Tel Aviv,79,65,1,14,NA,NA,NA
180,2001-10-20,2001/02,London Towers,KK Union Olimpija Ljubljana,58,91,0,-33,NA,NA,NA
181,2001-10-20,2001/02,Zalgiris Kaunas,Trabzonspor,79,82,0,-3,NA,NA,NA
182,2001-10-20,2001/02,Peristeri,Skyliners Frankfurt,89,93,0,-4,NA,NA,NA
183,2001-10-20,2001/02,Zadar,Pau-Lacq-Orthez,79,83,0,-4,NA,NA,NA
184,2001-10-20,2001/02,CSKA Moscow,Panathinaikos Athens,85,91,0,-6,NA,NA,NA
185,2001-10-20,2001/02,Teamsystem Bologna,Buducnost VOLI,109,79,1,30,NA,NA,NA
186,2001-10-20,2001/02,Real Madrid,Krka Novo Mesto,87,93,0,-6,NA,NA,NA
187,2001-10-20,2001/02,Filou Oostende,Ural-Great Perm,79,84,0,-5,NA,NA,NA
188,2001-10-20,2001/02,AEK Athens,Partizan,106,70,1,36,NA,NA,NA
189,2001-10-20,2001/02,Vitoria,ASVEL Lyon-Villeurbanne,90,66,1,24,NA,NA,NA
190,2001-10-20,2001/02,Pesaro,Cibona Zagreb,88,75,1,13,NA,NA,NA
191,2001-10-24,2001/02,Anadolu Efes Istanbul,ALBA Berlin,78,72,1,6,NA,NA,NA
192,2001-10-24,2001/02,Benetton Treviso,Spirou Basket,86,78,1,8,NA,NA,NA
193,2001-10-24,2001/02,Olympiacos Piraeus,WKS Slask Wroclaw,101,79,1,22,NA,NA,NA
194,2001-10-24,2001/02,Krka Novo Mesto,Teamsystem Bologna,94,100,0,-6,NA,NA,NA
195,2001-10-24,2001/02,Zadar,Real Madrid,73,81,0,-8,NA,NA,NA
196,2001-10-24,2001/02,Pau-Lacq-Orthez,Panathinaikos Athens,67,79,0,-12,NA,NA,NA
197,2001-10-24,2001/02,Buducnost VOLI,CSKA Moscow,72,103,0,-31,NA,NA,NA
198,2001-10-24,2001/02,Cibona Zagreb,Filou Oostende,85,76,1,9,NA,NA,NA
199,2001-10-24,2001/02,AEK Athens,Vitoria,85,82,1,3,NA,NA,NA
200,2001-10-24,2001/02,Partizan,Ural-Great Perm,85,80,1,5,NA,NA,NA
201,2001-10-24,2001/02,ASVEL Lyon-Villeurbanne,Pesaro,63,80,0,-17,NA,NA,NA
202,2001-10-24,2001/02,Kinder Bologna,Trabzonspor,68,60,1,8,NA,NA,NA
203,2001-10-25,2001/02,Skyliners Frankfurt,London Towers,61,57,1,4,NA,NA,NA
204,2001-10-25,2001/02,Barcelona,Peristeri,73,77,0,-4,NA,NA,NA
205,2001-10-25,2001/02,KK Union Olimpija Ljubljana,Zalgiris Kaunas,87,66,1,21,NA,NA,NA
206,2001-10-25,2001/02,Maccabi Tel Aviv,Unicaja Malaga,82,60,1,22,NA,NA,NA
207,2001-10-31,2001/02,WKS Slask Wroclaw,Anadolu Efes Istanbul,74,79,0,-5,NA,NA,NA
208,2001-10-31,2001/02,ALBA Berlin,Benetton Treviso,89,83,1,6,NA,NA,NA
209,2001-10-31,2001/02,Unicaja Malaga,Olympiacos Piraeus,86,79,1,7,NA,NA,NA
210,2001-10-31,2001/02,Spirou Basket,Maccabi Tel Aviv,63,74,0,-11,NA,NA,NA
211,2001-10-31,2001/02,Trabzonspor,KK Union Olimpija Ljubljana,75,63,1,12,NA,NA,NA
212,2001-10-31,2001/02,Zalgiris Kaunas,Skyliners Frankfurt,73,75,0,-2,NA,NA,NA
213,2001-10-31,2001/02,London Towers,Barcelona,67,99,0,-32,NA,NA,NA
214,2001-10-31,2001/02,Teamsystem Bologna,Zadar,95,85,1,10,NA,NA,NA
215,2001-10-31,2001/02,CSKA Moscow,Krka Novo Mesto,86,80,1,6,NA,NA,NA
216,2001-10-31,2001/02,Real Madrid,Pau-Lacq-Orthez,92,80,1,12,NA,NA,NA
217,2001-10-31,2001/02,Panathinaikos Athens,Buducnost VOLI,91,82,1,9,NA,NA,NA
218,2001-10-31,2001/02,Ural-Great Perm,Cibona Zagreb,85,66,1,19,NA,NA,NA
219,2001-10-31,2001/02,Filou Oostende,ASVEL Lyon-Villeurbanne,77,88,0,-11,NA,NA,NA
220,2001-10-31,2001/02,Pesaro,AEK Athens,68,89,0,-21,NA,NA,NA
221,2001-10-31,2001/02,Vitoria,Partizan,80,85,0,-5,NA,NA,NA
222,2001-11-01,2001/02,Peristeri,Kinder Bologna,59,87,0,-28,NA,NA,NA
223,2001-11-07,2001/02,Anadolu Efes Istanbul,Unicaja Malaga,75,71,1,4,NA,NA,NA
224,2001-11-07,2001/02,ALBA Berlin,WKS Slask Wroclaw,75,64,1,11,NA,NA,NA
225,2001-11-07,2001/02,Olympiacos Piraeus,Spirou Basket,107,78,1,29,NA,NA,NA
226,2001-11-07,2001/02,Benetton Treviso,Maccabi Tel Aviv,87,83,1,4,NA,NA,NA
227,2001-11-07,2001/02,Peristeri,London Towers,99,75,1,24,NA,NA,NA
228,2001-11-07,2001/02,Skyliners Frankfurt,Trabzonspor,74,70,1,4,NA,NA,NA
229,2001-11-07,2001/02,Barcelona,Zalgiris Kaunas,90,86,1,4,NA,NA,NA
230,2001-11-07,2001/02,Krka Novo Mesto,Panathinaikos Athens,82,81,1,1,NA,NA,NA
231,2001-11-07,2001/02,Pau-Lacq-Orthez,Buducnost VOLI,87,90,0,-3,NA,NA,NA
232,2001-11-07,2001/02,Real Madrid,Teamsystem Bologna,87,82,1,5,NA,NA,NA
233,2001-11-07,2001/02,Zadar,CSKA Moscow,73,90,0,-17,NA,NA,NA
234,2001-11-07,2001/02,AEK Athens,Filou Oostende,86,79,1,7,NA,NA,NA
235,2001-11-07,2001/02,Partizan,Cibona Zagreb,81,76,1,5,NA,NA,NA
236,2001-11-07,2001/02,ASVEL Lyon-Villeurbanne,Ural-Great Perm,73,75,0,-2,NA,NA,NA
237,2001-11-07,2001/02,Vitoria,Pesaro,86,68,1,18,NA,NA,NA
238,2001-11-08,2001/02,Kinder Bologna,KK Union Olimpija Ljubljana,86,70,1,16,NA,NA,NA
239,2001-11-14,2001/02,Spirou Basket,Anadolu Efes Istanbul,79,75,1,4,NA,NA,NA
240,2001-11-14,2001/02,Benetton Treviso,WKS Slask Wroclaw,88,72,1,16,NA,NA,NA
241,2001-11-14,2001/02,Unicaja Malaga,ALBA Berlin,86,79,1,7,NA,NA,NA
242,2001-11-14,2001/02,Maccabi Tel Aviv,Olympiacos Piraeus,78,73,1,5,NA,NA,NA
243,2001-11-14,2001/02,KK Union Olimpija Ljubljana,Skyliners Frankfurt,81,55,1,26,NA,NA,NA
244,2001-11-14,2001/02,Trabzonspor,Barcelona,77,87,0,-10,NA,NA,NA
245,2001-11-14,2001/02,Zalgiris Kaunas,Peristeri,81,78,1,3,NA,NA,NA
246,2001-11-14,2001/02,CSKA Moscow,Real Madrid,77,92,0,-15,NA,NA,NA
247,2001-11-14,2001/02,Buducnost VOLI,Krka Novo Mesto,77,72,1,5,NA,NA,NA
248,2001-11-14,2001/02,Pau-Lacq-Orthez,Teamsystem Bologna,86,69,1,17,NA,NA,NA
249,2001-11-14,2001/02,Panathinaikos Athens,Zadar,102,64,1,38,NA,NA,NA
250,2001-11-14,2001/02,Ural-Great Perm,AEK Athens,86,77,1,9,NA,NA,NA
251,2001-11-14,2001/02,Cibona Zagreb,ASVEL Lyon-Villeurbanne,70,82,0,-12,NA,NA,NA
252,2001-11-14,2001/02,Partizan,Pesaro,68,80,0,-12,NA,NA,NA
253,2001-11-14,2001/02,Filou Oostende,Vitoria,74,88,0,-14,NA,NA,NA
254,2001-11-15,2001/02,Kinder Bologna,London Towers,94,72,1,22,NA,NA,NA
255,2001-12-05,2001/02,Vitoria,Ural-Great Perm,112,84,1,28,NA,NA,NA
256,2001-12-05,2001/02,ALBA Berlin,Spirou Basket,99,87,1,12,NA,NA,NA
257,2001-12-05,2001/02,WKS Slask Wroclaw,Unicaja Malaga,58,63,0,-5,NA,NA,NA
258,2001-12-05,2001/02,Olympiacos Piraeus,Benetton Treviso,87,91,0,-4,NA,NA,NA
259,2001-12-05,2001/02,Anadolu Efes Istanbul,Maccabi Tel Aviv,68,72,0,-4,NA,NA,NA
260,2001-12-05,2001/02,Barcelona,KK Union Olimpija Ljubljana,81,61,1,20,NA,NA,NA
261,2001-12-05,2001/02,Peristeri,Trabzonspor,82,95,0,-13,NA,NA,NA
262,2001-12-05,2001/02,London Towers,Zalgiris Kaunas,58,81,0,-23,NA,NA,NA
263,2001-12-05,2001/02,Zadar,Buducnost VOLI,88,79,1,9,NA,NA,NA
264,2001-12-05,2001/02,Teamsystem Bologna,CSKA Moscow,97,99,0,-2,NA,NA,NA
265,2001-12-05,2001/02,Real Madrid,Panathinaikos Athens,70,78,0,-8,NA,NA,NA
266,2001-12-05,2001/02,Krka Novo Mesto,Pau-Lacq-Orthez,84,93,0,-9,NA,NA,NA
267,2001-12-05,2001/02,AEK Athens,Cibona Zagreb,72,69,1,3,NA,NA,NA
268,2001-12-05,2001/02,Pesaro,Filou Oostende,86,75,1,11,NA,NA,NA
269,2001-12-05,2001/02,ASVEL Lyon-Villeurbanne,Partizan,78,91,0,-13,NA,NA,NA
270,2001-12-06,2001/02,Skyliners Frankfurt,Kinder Bologna,80,79,1,1,NA,NA,NA
271,2001-12-12,2001/02,Anadolu Efes Istanbul,Olympiacos Piraeus,79,80,0,-1,NA,NA,NA
272,2001-12-12,2001/02,ALBA Berlin,Maccabi Tel Aviv,64,65,0,-1,NA,NA,NA
273,2001-12-12,2001/02,London Towers,Trabzonspor,75,93,0,-18,NA,NA,NA
274,2001-12-12,2001/02,Barcelona,Skyliners Frankfurt,90,81,1,9,NA,NA,NA
275,2001-12-12,2001/02,Peristeri,KK Union Olimpija Ljubljana,67,75,0,-8,NA,NA,NA
276,2001-12-12,2001/02,Real Madrid,Buducnost VOLI,90,71,1,19,NA,NA,NA
277,2001-12-12,2001/02,Zadar,Krka Novo Mesto,97,98,0,-1,NA,NA,NA
278,2001-12-12,2001/02,CSKA Moscow,Pau-Lacq-Orthez,80,69,1,11,NA,NA,NA
