Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 12, 2017",Unicaja Malaga,Fenerbahce BEKO,68,67,1
"Oct 12, 2017",Olympiacos Piraeus,Baskonia,75,64,1
"Oct 12, 2017",Brose Bamberg,Maccabi Tel Aviv,71,88,0
"Oct 12, 2017",Anadolu Efes Istanbul,Real Madrid,74,88,0
"Oct 12, 2017",CSKA Moscow,EA7 Milano,93,84,1
"Oct 13, 2017",FC Barcelona,Panathinaikos Athens,98,71,1
"Oct 13, 2017",Khimki Moscow Region,Valencia Basket,75,70,1
"Oct 13, 2017",Zalgiris Kaunas,Crvena Zvezda Belgrade,78,76,1
"Oct 19, 2017",Real Madrid,CSKA Moscow,82,69,1
"Oct 19, 2017",EA7 Milano,Fenerbahce BEKO,86,92,0
"Oct 19, 2017",Panathinaikos Athens,Brose Bamberg,93,83,1
"Oct 19, 2017",Maccabi Tel Aviv,Baskonia,74,68,1
"Oct 20, 2017",Valencia Basket,Anadolu Efes Istanbul,78,71,1
"Oct 20, 2017",Olympiacos Piraeus,Unicaja Malaga,80,75,1
"Oct 20, 2017",Crvena Zvezda Belgrade,FC Barcelona,90,82,1
"Oct 20, 2017",Khimki Moscow Region,Zalgiris Kaunas,85,77,1
"Oct 24, 2017",FC Barcelona,Zalgiris Kaunas,75,81,0
"Oct 24, 2017",Real Madrid,EA7 Milano,100,90,1
"Oct 24, 2017",Khimki Moscow Region,Crvena Zvezda Belgrade,85,78,1
"Oct 24, 2017",Maccabi Tel Aviv,Olympiacos Piraeus,68,69,0
"Oct 25, 2017",CSKA Moscow,Panathinaikos Athens,81,63,1
"Oct 25, 2017",Fenerbahce BEKO,Anadolu Efes Istanbul,81,70,1
"Oct 25, 2017",Baskonia,Valencia Basket,63,80,0
"Oct 25, 2017",Unicaja Malaga,Brose Bamberg,76,80,0
"Oct 26, 2017",Crvena Zvezda Belgrade,Maccabi Tel Aviv,87,84,1
"Oct 26, 2017",EA7 Milano,FC Barcelona,78,74,1
"Oct 26, 2017",Olympiacos Piraeus,Khimki Moscow Region,92,75,1
"Oct 26, 2017",Zalgiris Kaunas,Real Madrid,66,87,0
"Oct 27, 2017",Anadolu Efes Istanbul,CSKA Moscow,80,98,0
"Oct 27, 2017",Valencia Basket,Unicaja Malaga,91,53,1
"Oct 27, 2017",Panathinaikos Athens,Fenerbahce BEKO,70,68,1
"Oct 27, 2017",Brose Bamberg,Baskonia,78,72,1
"Nov 2, 2017",Baskonia,Panathinaikos Athens,85,84,1
"Nov 2, 2017",Real Madrid,Khimki Moscow Region,80,86,0
"Nov 2, 2017",Fenerbahce BEKO,Valencia Basket,79,66,1
"Nov 2, 2017",Crvena Zvezda Belgrade,Brose Bamberg,69,75,0
"Nov 2, 2017",Maccabi Tel Aviv,EA7 Milano,79,68,1
"Nov 3, 2017",FC Barcelona,Olympiacos Piraeus,73,51,1
"Nov 3, 2017",Anadolu Efes Istanbul,Unicaja Malaga,74,79,0
"Nov 3, 2017",CSKA Moscow,Zalgiris Kaunas,94,91,1
"Nov 9, 2017",EA7 Milano,Zalgiris Kaunas,62,94,0
"Nov 9, 2017",CSKA Moscow,Valencia Basket,94,67,1
"Nov 9, 2017",Maccabi Tel Aviv,Real Madrid,90,83,1
"Nov 9, 2017",FC Barcelona,Anadolu Efes Istanbul,85,89,0
"Nov 10, 2017",Unicaja Malaga,Crvena Zvezda Belgrade,79,65,1
"Nov 10, 2017",Olympiacos Piraeus,Panathinaikos Athens,62,70,0
"Nov 10, 2017",Brose Bamberg,Fenerbahce BEKO,57,80,0
"Nov 10, 2017",Khimki Moscow Region,Baskonia,91,90,1
"Nov 14, 2017",Baskonia,Real Madrid,105,75,1
"Nov 14, 2017",Unicaja Malaga,Zalgiris Kaunas,83,85,0
"Nov 14, 2017",Panathinaikos Athens,Khimki Moscow Region,93,65,1
"Nov 14, 2017",Maccabi Tel Aviv,Anadolu Efes Istanbul,72,92,0
"Nov 15, 2017",Valencia Basket,EA7 Milano,98,103,0
"Nov 15, 2017",Brose Bamberg,FC Barcelona,84,81,1
"Nov 15, 2017",Fenerbahce BEKO,Olympiacos Piraeus,83,90,0
"Nov 15, 2017",Crvena Zvezda Belgrade,CSKA Moscow,59,85,0
"Nov 16, 2017",Khimki Moscow Region,Maccabi Tel Aviv,69,77,0
"Nov 16, 2017",Real Madrid,Unicaja Malaga,89,57,1
