Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 17, 2011",Zalgiris Kaunas,CSKA Moscow,74,87,0
"Oct 19, 2011",UNICS Kazan,Ducato Siena,71,79,0
"Oct 19, 2011",Fenerbahce BEKO,Vitoria,66,69,0
"Oct 19, 2011",Bennet Cantù,SLUC Nancy,80,69,1
"Oct 19, 2011",Asseco Arka Gdynia,Galatasaray,72,76,0
"Oct 20, 2011",Partizan,Anadolu Efes Istanbul,73,84,0
"Oct 20, 2011",Spirou Basket,Real Madrid,76,100,0
"Oct 20, 2011",EA7 Milano,Maccabi Tel Aviv,89,82,1
"Oct 20, 2011",Petrol Olimpjia,Barcelona,64,86,0
"Oct 20, 2011",Panathinaikos Athens,Unicaja Malaga,98,77,1
"Oct 20, 2011",Brose Bamberg,Zagreb CO,96,65,1
"Oct 21, 2011",Gescrap Bizkaia Bilbao,Olympiacos Piraeus,76,61,1
"Oct 25, 2011",Unicaja Malaga,Zalgiris Kaunas,85,78,1
"Oct 26, 2011",CSKA Moscow,Brose Bamberg,94,74,1
"Oct 26, 2011",Zagreb CO,Panathinaikos Athens,62,81,0
"Oct 26, 2011",Anadolu Efes Istanbul,Spirou Basket,79,80,0
"Oct 26, 2011",Vitoria,Bennet Cantù,81,69,1
"Oct 27, 2011",Galatasaray,UNICS Kazan,64,68,0
"Oct 27, 2011",Ducato Siena,Petrol Olimpjia,79,57,1
"Oct 27, 2011",Olympiacos Piraeus,Fenerbahce BEKO,81,74,1
"Oct 27, 2011",Real Madrid,EA7 Milano,85,78,1
"Oct 27, 2011",Barcelona,Asseco Arka Gdynia,88,61,1
"Oct 27, 2011",SLUC Nancy,Gescrap Bizkaia Bilbao,87,73,1
"Oct 27, 2011",Maccabi Tel Aviv,Partizan,70,66,1
"Nov 2, 2011",Vitoria,Olympiacos Piraeus,81,79,1
"Nov 2, 2011",Zagreb CO,CSKA Moscow,47,89,0
"Nov 2, 2011",Ducato Siena,Galatasaray,103,77,1
"Nov 2, 2011",Petrol Olimpjia,Asseco Arka Gdynia,70,62,1
"Nov 3, 2011",UNICS Kazan,Barcelona,65,93,0
