Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 11, 2018",CSKA Moscow,FC Barcelona,95,75,1
"Oct 11, 2018",Panathinaikos Athens,Maccabi Tel Aviv,89,84,1
"Oct 11, 2018",FC Bayern München,Anadolu Efes Istanbul,71,90,0
"Oct 11, 2018",Real Madrid,Darussafaka,109,93,1
"Oct 12, 2018",Buducnost VOLI,AX Milano,71,82,0
"Oct 12, 2018",Khimki Moscow Region,Olympiacos Piraeus,66,87,0
"Oct 12, 2018",Zalgiris Kaunas,Baskonia,79,87,0
"Oct 12, 2018",Fenerbahce BEKO,Gran Canaria,97,72,1
"Oct 16, 2018",Darussafaka,Buducnost VOLI,71,63,1
"Oct 16, 2018",Maccabi Tel Aviv,CSKA Moscow,86,89,0
"Oct 16, 2018",FC Bayern München,Panathinaikos Athens,80,79,1
"Oct 16, 2018",Gran Canaria,FC Barcelona,87,86,1
"Oct 17, 2018",Anadolu Efes Istanbul,Zalgiris Kaunas,79,93,0
"Oct 17, 2018",Fenerbahce BEKO,Khimki Moscow Region,93,85,1
"Oct 17, 2018",Baskonia,Olympiacos Piraeus,80,85,0
"Oct 17, 2018",AX Milano,Real Madrid,85,91,0
"Oct 18, 2018",CSKA Moscow,Darussafaka,79,75,1
"Oct 18, 2018",Buducnost VOLI,Maccabi Tel Aviv,68,78,0
"Oct 18, 2018",Panathinaikos Athens,Gran Canaria,102,87,1
"Oct 18, 2018",FC Barcelona,FC Bayern München,83,73,1
"Oct 19, 2018",Khimki Moscow Region,Anadolu Efes Istanbul,84,85,0
"Oct 19, 2018",Zalgiris Kaunas,Fenerbahce BEKO,75,82,0
"Oct 19, 2018",Olympiacos Piraeus,AX Milano,75,99,0
"Oct 19, 2018",Real Madrid,Baskonia,97,79,1
"Oct 25, 2018",Anadolu Efes Istanbul,Fenerbahce BEKO,89,83,1
"Oct 25, 2018",FC Bayern München,Baskonia,77,71,1
"Oct 25, 2018",AX Milano,Khimki Moscow Region,81,80,1
"Oct 25, 2018",Olympiacos Piraeus,Maccabi Tel Aviv,88,80,1
"Oct 25, 2018",Real Madrid,Buducnost VOLI,89,55,1
"Oct 26, 2018",Darussafaka,FC Barcelona,71,79,0
"Oct 26, 2018",Panathinaikos Athens,Zalgiris Kaunas,83,87,0
"Oct 26, 2018",Gran Canaria,CSKA Moscow,91,106,0
"Nov 1, 2018",CSKA Moscow,Olympiacos Piraeus,69,65,1
"Nov 1, 2018",Baskonia,Darussafaka,82,56,1
"Nov 1, 2018",Fenerbahce BEKO,FC Bayern München,88,84,1
"Nov 1, 2018",FC Barcelona,Maccabi Tel Aviv,74,58,1
"Nov 2, 2018",Khimki Moscow Region,Gran Canaria,87,72,1
"Nov 2, 2018",Buducnost VOLI,Panathinaikos Athens,67,72,0
"Nov 2, 2018",Zalgiris Kaunas,Real Madrid,79,90,0
"Nov 2, 2018",AX Milano,Anadolu Efes Istanbul,81,80,1
"Nov 8, 2018",FC Bayern München,Darussafaka,116,70,1
"Nov 8, 2018",Maccabi Tel Aviv,Real Madrid,66,87,0
"Nov 8, 2018",AX Milano,CSKA Moscow,85,90,0
"Nov 8, 2018",Gran Canaria,Anadolu Efes Istanbul,90,94,0
"Nov 9, 2018",Khimki Moscow Region,FC Barcelona,80,87,0
"Nov 9, 2018",Buducnost VOLI,Zalgiris Kaunas,60,72,0
"Nov 9, 2018",Panathinaikos Athens,Olympiacos Piraeus,93,80,1
"Nov 9, 2018",Baskonia,Fenerbahce BEKO,72,74,0
"Nov 15, 2018",Darussafaka,AX Milano,92,98,0
"Nov 15, 2018",Buducnost VOLI,Baskonia,99,84,1
"Nov 15, 2018",Olympiacos Piraeus,Fenerbahce BEKO,72,73,0
"Nov 15, 2018",Real Madrid,Khimki Moscow Region,79,74,1
"Nov 16, 2018",Anadolu Efes Istanbul,Panathinaikos Athens,78,62,1
"Nov 16, 2018",Zalgiris Kaunas,FC Barcelona,85,88,0
"Nov 16, 2018",FC Bayern München,CSKA Moscow,79,93,0
"Nov 16, 2018",Gran Canaria,Maccabi Tel Aviv,84,78,1
"Nov 20, 2018",Anadolu Efes Istanbul,Maccabi Tel Aviv,90,77,1
"Nov 20, 2018",Fenerbahce BEKO,Darussafaka,100,79,1
"Nov 20, 2018",FC Bayern München,Olympiacos Piraeus,62,72,0
"Nov 20, 2018",Real Madrid,Gran Canaria,89,76,1
"Nov 21, 2018",Khimki Moscow Region,Buducnost VOLI,85,69,1
"Nov 21, 2018",CSKA Moscow,Zalgiris Kaunas,99,97,1
"Nov 21, 2018",Panathinaikos Athens,FC Barcelona,76,70,1
"Nov 21, 2018",AX Milano,Baskonia,93,90,1
"Nov 22, 2018",Darussafaka,Anadolu Efes Istanbul,88,93,0
"Nov 22, 2018",Olympiacos Piraeus,Real Madrid,88,83,1
"Nov 22, 2018",Maccabi Tel Aviv,Fenerbahce BEKO,70,74,0
"Nov 22, 2018",Gran Canaria,FC Bayern München,74,89,0
"Nov 23, 2018",Zalgiris Kaunas,Khimki Moscow Region,83,84,0
"Nov 23, 2018",Baskonia,Panathinaikos Athens,86,77,1
"Nov 23, 2018",Buducnost VOLI,CSKA Moscow,93,92,1
"Nov 23, 2018",FC Barcelona,AX Milano,90,80,1
"Nov 29, 2018",Darussafaka,Gran Canaria,71,75,0
"Nov 29, 2018",Zalgiris Kaunas,AX Milano,83,78,1
"Nov 29, 2018",Maccabi Tel Aviv,FC Bayern München,95,71,1
"Nov 29, 2018",Real Madrid,CSKA Moscow,88,93,0
"Nov 30, 2018",Khimki Moscow Region,Panathinaikos Athens,76,68,1
"Nov 30, 2018",Anadolu Efes Istanbul,Baskonia,96,85,1
"Nov 30, 2018",Olympiacos Piraeus,Buducnost VOLI,92,70,1
"Nov 30, 2018",FC Barcelona,Fenerbahce BEKO,65,84,0
"Dec 6, 2018",Darussafaka,Maccabi Tel Aviv,71,73,0
"Dec 6, 2018",Buducnost VOLI,FC Barcelona,67,64,1
"Dec 6, 2018",FC Bayern München,Khimki Moscow Region,72,65,1
"Dec 6, 2018",Zalgiris Kaunas,Olympiacos Piraeus,83,75,1
"Dec 6, 2018",AX Milano,Gran Canaria,86,94,0
"Dec 7, 2018",Anadolu Efes Istanbul,Real Madrid,82,84,0
"Dec 7, 2018",Baskonia,CSKA Moscow,76,73,1
"Dec 7, 2018",Panathinaikos Athens,Fenerbahce BEKO,69,81,0
"Dec 13, 2018",Olympiacos Piraeus,Anadolu Efes Istanbul,88,81,1
"Dec 13, 2018",CSKA Moscow,Khimki Moscow Region,88,74,1
"Dec 13, 2018",Fenerbahce BEKO,AX Milano,92,85,1
"Dec 13, 2018",Maccabi Tel Aviv,Baskonia,79,81,0
"Dec 13, 2018",Real Madrid,FC Barcelona,92,65,1
"Dec 14, 2018",FC Bayern München,Zalgiris Kaunas,88,84,1
"Dec 14, 2018",Panathinaikos Athens,Darussafaka,75,67,1
"Dec 14, 2018",Gran Canaria,Buducnost VOLI,95,85,1
"Dec 18, 2018",Anadolu Efes Istanbul,Buducnost VOLI,106,68,1
"Dec 18, 2018",Fenerbahce BEKO,CSKA Moscow,79,75,1
"Dec 18, 2018",FC Barcelona,Olympiacos Piraeus,60,69,0
"Dec 18, 2018",Gran Canaria,Baskonia,71,84,0
"Dec 19, 2018",Darussafaka,Zalgiris Kaunas,71,75,0
"Dec 19, 2018",Maccabi Tel Aviv,Khimki Moscow Region,79,63,1
"Dec 19, 2018",AX Milano,FC Bayern München,78,80,0
"Dec 19, 2018",Real Madrid,Panathinaikos Athens,89,68,1
"Dec 20, 2018",CSKA Moscow,Anadolu Efes Istanbul,102,84,1
"Dec 20, 2018",Buducnost VOLI,Fenerbahce BEKO,65,89,0
"Dec 20, 2018",Olympiacos Piraeus,Gran Canaria,98,77,1
"Dec 20, 2018",Baskonia,FC Barcelona,70,77,0
"Dec 21, 2018",Khimki Moscow Region,Darussafaka,85,84,1
"Dec 21, 2018",Zalgiris Kaunas,Maccabi Tel Aviv,80,73,1
"Dec 21, 2018",Panathinaikos Athens,AX Milano,83,86,0
"Dec 21, 2018",FC Bayern München,Real Madrid,72,82,0
"Dec 27, 2018",Khimki Moscow Region,Baskonia,77,85,0
"Dec 27, 2018",Darussafaka,Olympiacos Piraeus,79,75,1
"Dec 27, 2018",Maccabi Tel Aviv,AX Milano,94,92,1
"Dec 27, 2018",FC Barcelona,Anadolu Efes Istanbul,80,65,1
"Dec 28, 2018",Fenerbahce BEKO,Real Madrid,65,63,1
"Dec 28, 2018",Panathinaikos Athens,CSKA Moscow,96,84,1
"Dec 28, 2018",FC Bayern München,Buducnost VOLI,93,88,1
"Dec 28, 2018",Gran Canaria,Zalgiris Kaunas,73,66,1
"Jan 3, 2019",Anadolu Efes Istanbul,FC Bayern München,92,77,1
"Jan 3, 2019",Real Madrid,Maccabi Tel Aviv,91,79,1
"Jan 3, 2019",AX Milano,Buducnost VOLI,111,94,1
"Jan 3, 2019",Gran Canaria,Khimki Moscow Region,70,99,0
"Jan 4, 2019",Fenerbahce BEKO,Baskonia,96,87,1
"Jan 4, 2019",Zalgiris Kaunas,CSKA Moscow,79,84,0
"Jan 4, 2019",Olympiacos Piraeus,Panathinaikos Athens,79,65,1
"Jan 4, 2019",FC Barcelona,Darussafaka,97,65,1
"Jan 8, 2019",Khimki Moscow Region,Fenerbahce BEKO,84,78,1
"Jan 8, 2019",Zalgiris Kaunas,Anadolu Efes Istanbul,58,79,0
"Jan 8, 2019",Olympiacos Piraeus,Baskonia,91,87,1
