Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Nov 26, 2020",Maccabi Tel Aviv,AX Milano,85,86,0
"Nov 26, 2020",Olympiacos Piraeus,Baskonia,76,90,0
"Nov 27, 2020",Fenerbahce BEKO,Valencia Basket,86,90,0
"Nov 27, 2020",Panathinaikos Athens,FC Bayern München,83,76,1
"Nov 27, 2020",LDLC ASVEL,FC Barcelona,80,68,1
"Dec 1, 2020",LDLC ASVEL,Panathinaikos Athens,97,73,1
"Dec 1, 2020",AX Milano,ALBA Berlin,75,55,1
"Dec 3, 2020",CSKA Moscow,Olympiacos Piraeus,80,61,1
"Dec 3, 2020",Zenit St. Petersburg,Fenerbahce BEKO,65,73,0
"Dec 3, 2020",Maccabi Tel Aviv,Crvena Zvezda Belgrade,81,76,1
"Dec 3, 2020",AX Milano,Panathinaikos Athens,77,80,0
"Dec 3, 2020",Valencia Basket,ALBA Berlin,92,100,0
"Dec 4, 2020",Anadolu Efes Istanbul,Baskonia,59,77,0
"Dec 4, 2020",Zalgiris Kaunas,FC Barcelona,62,73,0
"Dec 4, 2020",FC Bayern München,Khimki Moscow Region,80,77,1
"Dec 4, 2020",Real Madrid,LDLC ASVEL,91,84,1
"Dec 8, 2020",Khimki Moscow Region,AX Milano,93,102,0
"Dec 8, 2020",Anadolu Efes Istanbul,LDLC ASVEL,72,68,1
"Dec 8, 2020",FC Barcelona,Olympiacos Piraeus,88,96,0
"Dec 8, 2020",Valencia Basket,Zenit St. Petersburg,72,85,0
"Dec 10, 2020",Crvena Zvezda Belgrade,Olympiacos Piraeus,79,81,0
"Dec 10, 2020",ALBA Berlin,Fenerbahce BEKO,89,63,1
"Dec 10, 2020",Baskonia,Maccabi Tel Aviv,63,67,0
"Dec 10, 2020",Valencia Basket,Anadolu Efes Istanbul,76,74,1
"Dec 10, 2020",Real Madrid,Zenit St. Petersburg,79,72,1
"Dec 11, 2020",Khimki Moscow Region,CSKA Moscow,87,96,0
"Dec 11, 2020",Panathinaikos Athens,Zalgiris Kaunas,69,81,0
"Dec 11, 2020",FC Bayern München,LDLC ASVEL,76,62,1
"Dec 11, 2020",FC Barcelona,AX Milano,87,71,1
"Dec 15, 2020",CSKA Moscow,Anadolu Efes Istanbul,100,65,1
"Dec 15, 2020",Fenerbahce BEKO,AX Milano,71,79,0
"Dec 15, 2020",Crvena Zvezda Belgrade,ALBA Berlin,84,90,0
"Dec 15, 2020",Zalgiris Kaunas,Baskonia,92,73,1
"Dec 15, 2020",Panathinaikos Athens,Real Madrid,93,97,0
"Dec 16, 2020",Zenit St. Petersburg,FC Bayern München,79,75,1
"Dec 16, 2020",LDLC ASVEL,Maccabi Tel Aviv,84,81,1
"Dec 16, 2020",Olympiacos Piraeus,Valencia Basket,85,96,0
"Dec 16, 2020",FC Barcelona,Khimki Moscow Region,87,74,1
"Dec 17, 2020",Anadolu Efes Istanbul,AX Milano,69,72,0
"Dec 17, 2020",Zalgiris Kaunas,Fenerbahce BEKO,99,62,1
"Dec 17, 2020",Panathinaikos Athens,ALBA Berlin,92,69,1
"Dec 18, 2020",CSKA Moscow,Zenit St. Petersburg,83,65,1
"Dec 18, 2020",Crvena Zvezda Belgrade,Valencia Basket,76,73,1
"Dec 18, 2020",FC Bayern München,Baskonia,77,66,1
"Dec 18, 2020",LDLC ASVEL,Khimki Moscow Region,90,84,1
"Dec 18, 2020",Olympiacos Piraeus,Real Madrid,82,86,0
"Dec 18, 2020",FC Barcelona,Maccabi Tel Aviv,67,68,0
"Dec 22, 2020",Anadolu Efes Istanbul,FC Barcelona,86,79,1
"Dec 22, 2020",Zenit St. Petersburg,Crvena Zvezda Belgrade,98,69,1
"Dec 22, 2020",Maccabi Tel Aviv,Panathinaikos Athens,89,81,1
"Dec 22, 2020",LDLC ASVEL,CSKA Moscow,78,87,0
"Dec 22, 2020",Real Madrid,ALBA Berlin,91,62,1
"Dec 23, 2020",Fenerbahce BEKO,Olympiacos Piraeus,84,77,1
"Dec 23, 2020",Zalgiris Kaunas,FC Bayern München,74,73,1
"Dec 23, 2020",AX Milano,Baskonia,79,84,0
"Dec 23, 2020",Valencia Basket,Khimki Moscow Region,88,82,1
"Dec 29, 2020",Khimki Moscow Region,Olympiacos Piraeus,88,105,0
"Dec 29, 2020",Anadolu Efes Istanbul,Real Madrid,65,73,0
"Dec 29, 2020",ALBA Berlin,Zalgiris Kaunas,71,74,0
"Dec 29, 2020",Maccabi Tel Aviv,Zenit St. Petersburg,72,78,0
"Dec 29, 2020",Baskonia,Valencia Basket,71,70,1
"Dec 30, 2020",Fenerbahce BEKO,LDLC ASVEL,81,59,1
"Dec 30, 2020",Crvena Zvezda Belgrade,Panathinaikos Athens,74,71,1
"Dec 30, 2020",FC Bayern München,FC Barcelona,90,77,1
"Dec 30, 2020",AX Milano,CSKA Moscow,87,91,0
"Jan 5, 2021",ALBA Berlin,Baskonia,95,91,1
"Jan 7, 2021",Crvena Zvezda Belgrade,Fenerbahce BEKO,71,73,0
"Jan 7, 2021",ALBA Berlin,Maccabi Tel Aviv,73,85,0
"Jan 7, 2021",Panathinaikos Athens,Zenit St. Petersburg,77,89,0
"Jan 7, 2021",FC Barcelona,Valencia Basket,89,72,1
"Jan 8, 2021",Zalgiris Kaunas,Khimki Moscow Region,102,75,1
"Jan 8, 2021",Olympiacos Piraeus,FC Bayern München,84,82,1
"Jan 8, 2021",LDLC ASVEL,Anadolu Efes Istanbul,80,102,0
"Jan 8, 2021",Baskonia,CSKA Moscow,95,93,1
"Jan 8, 2021",Real Madrid,AX Milano,76,80,0
"Jan 12, 2021",Khimki Moscow Region,FC Barcelona,75,87,0
"Jan 12, 2021",Anadolu Efes Istanbul,ALBA Berlin,84,76,1
"Jan 12, 2021",Fenerbahce BEKO,Baskonia,96,76,1
"Jan 12, 2021",AX Milano,Valencia Basket,95,80,1
"Jan 12, 2021",Maccabi Tel Aviv,Olympiacos Piraeus,87,89,0
"Jan 13, 2021",CSKA Moscow,Zalgiris Kaunas,83,73,1
"Jan 13, 2021",Panathinaikos Athens,LDLC ASVEL,88,71,1
"Jan 13, 2021",FC Bayern München,Zenit St. Petersburg,82,80,1
"Jan 14, 2021",Anadolu Efes Istanbul,Khimki Moscow Region,99,60,1
"Jan 14, 2021",ALBA Berlin,AX Milano,70,84,0
"Jan 14, 2021",Maccabi Tel Aviv,Baskonia,91,82,1
"Jan 15, 2021",CSKA Moscow,FC Barcelona,75,88,0
"Jan 15, 2021",Zenit St. Petersburg,Zalgiris Kaunas,77,65,1
"Jan 15, 2021",Fenerbahce BEKO,Panathinaikos Athens,100,74,1
"Jan 15, 2021",Olympiacos Piraeus,LDLC ASVEL,63,69,0
"Jan 15, 2021",FC Bayern München,Real Madrid,76,81,0
"Jan 15, 2021",Valencia Basket,Crvena Zvezda Belgrade,91,71,1
"Jan 19, 2021",LDLC ASVEL,Olympiacos Piraeus,93,101,0
"Jan 21, 2021",Zenit St. Petersburg,Anadolu Efes Istanbul,85,78,1
"Jan 21, 2021",AX Milano,FC Bayern München,75,51,1
"Jan 21, 2021",LDLC ASVEL,Valencia Basket,90,77,1
"Jan 21, 2021",Panathinaikos Athens,Khimki Moscow Region,94,78,1
"Jan 21, 2021",Maccabi Tel Aviv,Real Madrid,86,84,1
"Jan 22, 2021",CSKA Moscow,Fenerbahce BEKO,83,89,0
"Jan 22, 2021",Crvena Zvezda Belgrade,FC Barcelona,60,72,0
"Jan 22, 2021",Zalgiris Kaunas,Olympiacos Piraeus,81,79,1
"Jan 22, 2021",Baskonia,ALBA Berlin,77,84,0
"Jan 26, 2021",Khimki Moscow Region,FC Bayern München,93,95,0
"Jan 26, 2021",Anadolu Efes Istanbul,Crvena Zvezda Belgrade,86,72,1
"Jan 26, 2021",Fenerbahce BEKO,Maccabi Tel Aviv,82,75,1
"Jan 26, 2021",AX Milano,Olympiacos Piraeus,90,79,1
"Jan 26, 2021",FC Barcelona,Zenit St. Petersburg,85,81,1
"Jan 27, 2021",ALBA Berlin,CSKA Moscow,68,71,0
"Jan 27, 2021",LDLC ASVEL,Baskonia,83,77,1
"Jan 27, 2021",Real Madrid,Panathinaikos Athens,76,66,1
"Jan 27, 2021",Valencia Basket,Zalgiris Kaunas,78,79,0
"Jan 28, 2021",Khimki Moscow Region,Fenerbahce BEKO,76,107,0
"Jan 28, 2021",AX Milano,Zenit St. Petersburg,82,76,1
"Jan 28, 2021",Olympiacos Piraeus,FC Barcelona,74,76,0
"Jan 29, 2021",CSKA Moscow,FC Bayern München,66,69,0
"Jan 29, 2021",ALBA Berlin,Real Madrid,63,72,0
"Jan 29, 2021",Crvena Zvezda Belgrade,LDLC ASVEL,78,81,0
"Jan 29, 2021",Panathinaikos Athens,Valencia Basket,91,72,1
"Jan 29, 2021",Baskonia,Zalgiris Kaunas,81,68,1
