Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 12, 2016",Real Madrid,Olympiacos Piraeus,83,65,1
"Oct 13, 2016",EA7 Milano,Maccabi Tel Aviv,99,97,1
"Oct 13, 2016",Galatasaray,CSKA Moscow,84,109,0
"Oct 13, 2016",Crvena Zvezda Belgrade,Darussafaka,70,73,0
"Oct 14, 2016",Baskonia,Anadolu Efes Istanbul,85,84,1
"Oct 14, 2016",UNICS Kazan,FC Barcelona,63,69,0
"Oct 14, 2016",Fenerbahce BEKO,Brose Bamberg,67,66,1
"Oct 14, 2016",Panathinaikos Athens,Zalgiris Kaunas,84,76,1
"Oct 20, 2016",Olympiacos Piraeus,Anadolu Efes Istanbul,90,66,1
"Oct 20, 2016",Brose Bamberg,UNICS Kazan,89,86,1
"Oct 20, 2016",Darussafaka,EA7 Milano,80,81,0
"Oct 20, 2016",Maccabi Tel Aviv,Real Madrid,82,89,0
"Oct 21, 2016",Zalgiris Kaunas,Baskonia,78,73,1
"Oct 21, 2016",FC Barcelona,Fenerbahce BEKO,72,73,0
"Oct 21, 2016",Galatasaray,Crvena Zvezda Belgrade,83,85,0
"Oct 21, 2016",CSKA Moscow,Panathinaikos Athens,81,77,1
"Oct 25, 2016",Real Madrid,Baskonia,87,91,0
"Oct 25, 2016",Olympiacos Piraeus,EA7 Milano,91,81,1
"Oct 25, 2016",UNICS Kazan,Darussafaka,87,94,0
"Oct 25, 2016",Anadolu Efes Istanbul,CSKA Moscow,87,93,0
"Oct 26, 2016",Fenerbahce BEKO,Zalgiris Kaunas,82,68,1
"Oct 26, 2016",Brose Bamberg,Panathinaikos Athens,83,84,0
"Oct 26, 2016",Crvena Zvezda Belgrade,FC Barcelona,76,65,1
"Oct 26, 2016",Maccabi Tel Aviv,Galatasaray,98,92,1
"Oct 27, 2016",EA7 Milano,Real Madrid,90,101,0
"Oct 27, 2016",Darussafaka,Anadolu Efes Istanbul,79,84,0
"Oct 27, 2016",CSKA Moscow,UNICS Kazan,98,80,1
"Oct 27, 2016",Baskonia,Olympiacos Piraeus,90,95,0
"Oct 28, 2016",Zalgiris Kaunas,Maccabi Tel Aviv,74,87,0
"Oct 28, 2016",Panathinaikos Athens,Crvena Zvezda Belgrade,70,59,1
"Oct 28, 2016",Galatasaray,Fenerbahce BEKO,87,103,0
"Oct 28, 2016",FC Barcelona,Brose Bamberg,78,74,1
"Nov 2, 2016",Fenerbahce BEKO,UNICS Kazan,73,81,0
"Nov 2, 2016",Maccabi Tel Aviv,FC Barcelona,69,79,0
