Date,Home,Away,Punkte Heim,Punkte Gast,Home_W
"Oct 15, 2015",Crvena Zvezda Belgrade,Strasbourg,81,59,1
"Oct 15, 2015",CSKA Moscow,Maccabi Tel Aviv,100,69,1
"Oct 15, 2015",Unicaja Malaga,Brose Bamberg,76,71,1
"Oct 15, 2015",Olympiacos Piraeus,Cedevita Zagreb,76,61,1
"Oct 15, 2015",Pinar Karsiyaka,FC Barcelona,71,62,1
"Oct 15, 2015",Darussafaka,Dinamo Sassari,83,74,1
"Oct 16, 2015",Fenerbahce BEKO,FC Bayern München,74,67,1
"Oct 16, 2015",Limoges CSP,Anadolu Efes Istanbul,77,89,0
"Oct 16, 2015",EA7 Milano,Vitoria,78,76,1
"Oct 16, 2015",Khimki Moscow Region,Real Madrid,84,70,1
"Oct 16, 2015",Lokomotiv Kuban,Panathinaikos Athens,81,70,1
"Oct 16, 2015",BC Zielona Góra,Zalgiris Kaunas,62,66,0
"Oct 22, 2015",Cedevita Zagreb,Limoges CSP,80,84,0
"Oct 22, 2015",Real Madrid,Crvena Zvezda Belgrade,98,71,1
"Oct 22, 2015",Panathinaikos Athens,Pinar Karsiyaka,85,73,1
"Oct 22, 2015",Anadolu Efes Istanbul,EA7 Milano,89,73,1
"Oct 22, 2015",Maccabi Tel Aviv,Unicaja Malaga,82,93,0
"Oct 22, 2015",FC Bayern München,Khimki Moscow Region,69,60,1
"Oct 23, 2015",FC Barcelona,BC Zielona Góra,78,72,1
"Oct 23, 2015",Vitoria,Olympiacos Piraeus,96,89,1
"Oct 23, 2015",Brose Bamberg,Darussafaka,86,76,1
"Oct 23, 2015",Zalgiris Kaunas,Lokomotiv Kuban,74,76,0
"Oct 23, 2015",Dinamo Sassari,CSKA Moscow,78,107,0
"Oct 23, 2015",Strasbourg,Fenerbahce BEKO,91,70,1
"Oct 29, 2015",Limoges CSP,Vitoria,71,107,0
"Oct 29, 2015",FC Barcelona,Panathinaikos Athens,77,52,1
"Oct 29, 2015",Pinar Karsiyaka,Zalgiris Kaunas,66,68,0
"Oct 29, 2015",Anadolu Efes Istanbul,Cedevita Zagreb,75,81,0
"Oct 29, 2015",CSKA Moscow,Brose Bamberg,83,77,1
"Oct 29, 2015",Maccabi Tel Aviv,Dinamo Sassari,79,63,1
"Oct 30, 2015",Fenerbahce BEKO,Real Madrid,77,66,1
"Oct 30, 2015",Unicaja Malaga,Darussafaka,81,69,1
"Oct 30, 2015",EA7 Milano,Olympiacos Piraeus,66,71,0
"Oct 30, 2015",Khimki Moscow Region,Crvena Zvezda Belgrade,91,53,1
"Oct 30, 2015",FC Bayern München,Strasbourg,76,61,1
"Oct 30, 2015",BC Zielona Góra,Lokomotiv Kuban,75,83,0
"Nov 5, 2015",Khimki Moscow Region,Strasbourg,88,62,1
"Nov 5, 2015",Brose Bamberg,Maccabi Tel Aviv,77,66,1
"Nov 5, 2015",Vitoria,Anadolu Efes Istanbul,92,90,1
"Nov 5, 2015",Real Madrid,FC Bayern München,101,99,1
"Nov 5, 2015",EA7 Milano,Cedevita Zagreb,68,77,0
"Nov 5, 2015",Olympiacos Piraeus,Limoges CSP,75,49,1
"Nov 5, 2015",Darussafaka,CSKA Moscow,75,80,0
"Nov 6, 2015",Unicaja Malaga,Dinamo Sassari,80,62,1
"Nov 6, 2015",Crvena Zvezda Belgrade,Fenerbahce BEKO,60,74,0
"Nov 6, 2015",Zalgiris Kaunas,FC Barcelona,78,85,0
"Nov 6, 2015",Lokomotiv Kuban,Pinar Karsiyaka,72,53,1
"Nov 6, 2015",BC Zielona Góra,Panathinaikos Athens,71,68,1
"Nov 12, 2015",Anadolu Efes Istanbul,Olympiacos Piraeus,87,91,0
"Nov 12, 2015",Limoges CSP,EA7 Milano,74,65,1
"Nov 12, 2015",FC Barcelona,Lokomotiv Kuban,72,68,1
"Nov 12, 2015",Maccabi Tel Aviv,Darussafaka,73,84,0
"Nov 12, 2015",FC Bayern München,Crvena Zvezda Belgrade,79,90,0
"Nov 13, 2015",CSKA Moscow,Unicaja Malaga,78,86,0
"Nov 13, 2015",Panathinaikos Athens,Zalgiris Kaunas,91,56,1
"Nov 13, 2015",Pinar Karsiyaka,BC Zielona Góra,77,66,1
"Nov 13, 2015",Dinamo Sassari,Brose Bamberg,73,90,0
"Nov 13, 2015",Cedevita Zagreb,Vitoria,76,67,1
"Nov 13, 2015",Strasbourg,Real Madrid,93,86,1
"Nov 13, 2015",Fenerbahce BEKO,Khimki Moscow Region,88,83,1
"Nov 18, 2015",Real Madrid,Khimki Moscow Region,82,85,0
"Nov 19, 2015",FC Barcelona,Pinar Karsiyaka,107,79,1
"Nov 19, 2015",Vitoria,EA7 Milano,94,82,1
"Nov 19, 2015",Maccabi Tel Aviv,CSKA Moscow,82,88,0
"Nov 19, 2015",Zalgiris Kaunas,BC Zielona Góra,67,56,1
"Nov 19, 2015",Cedevita Zagreb,Olympiacos Piraeus,70,83,0
"Nov 19, 2015",FC Bayern München,Fenerbahce BEKO,67,84,0
"Nov 19, 2015",Strasbourg,Crvena Zvezda Belgrade,78,75,1
"Nov 20, 2015",Panathinaikos Athens,Lokomotiv Kuban,71,77,0
"Nov 20, 2015",Brose Bamberg,Unicaja Malaga,73,53,1
"Nov 20, 2015",Anadolu Efes Istanbul,Limoges CSP,92,74,1
"Nov 20, 2015",Dinamo Sassari,Darussafaka,60,68,0
"Nov 26, 2015",Fenerbahce BEKO,Strasbourg,81,64,1
"Nov 26, 2015",Limoges CSP,Cedevita Zagreb,69,78,0
"Nov 26, 2015",Unicaja Malaga,Maccabi Tel Aviv,82,68,1
"Nov 26, 2015",EA7 Milano,Anadolu Efes Istanbul,88,84,1
"Nov 26, 2015",Olympiacos Piraeus,Vitoria,59,52,1
"Nov 26, 2015",Khimki Moscow Region,FC Bayern München,70,81,0
"Nov 26, 2015",BC Zielona Góra,FC Barcelona,64,93,0
"Nov 27, 2015",Pinar Karsiyaka,Panathinaikos Athens,66,69,0
"Nov 27, 2015",Darussafaka,Brose Bamberg,54,65,0
"Nov 27, 2015",CSKA Moscow,Dinamo Sassari,93,87,1
"Nov 27, 2015",Lokomotiv Kuban,Zalgiris Kaunas,80,50,1
"Nov 27, 2015",Crvena Zvezda Belgrade,Real Madrid,94,88,1
"Dec 2, 2015",Zalgiris Kaunas,Pinar Karsiyaka,74,52,1
"Dec 3, 2015",Vitoria,Limoges CSP,92,56,1
"Dec 3, 2015",Olympiacos Piraeus,EA7 Milano,73,63,1
"Dec 3, 2015",Brose Bamberg,CSKA Moscow,88,100,0
"Dec 3, 2015",Dinamo Sassari,Maccabi Tel Aviv,74,76,0
"Dec 3, 2015",Cedevita Zagreb,Anadolu Efes Istanbul,75,81,0
"Dec 3, 2015",Real Madrid,Fenerbahce BEKO,80,73,1
"Dec 4, 2015",Panathinaikos Athens,FC Barcelona,93,86,1
"Dec 4, 2015",Darussafaka,Unicaja Malaga,63,57,1
"Dec 4, 2015",Crvena Zvezda Belgrade,Khimki Moscow Region,96,91,1
"Dec 4, 2015",Lokomotiv Kuban,BC Zielona Góra,51,66,0
"Dec 4, 2015",Strasbourg,FC Bayern München,69,82,0
"Dec 10, 2015",FC Barcelona,Zalgiris Kaunas,88,92,0
"Dec 10, 2015",Pinar Karsiyaka,Lokomotiv Kuban,78,88,0
"Dec 10, 2015",Maccabi Tel Aviv,Brose Bamberg,85,65,1
"Dec 10, 2015",Dinamo Sassari,Unicaja Malaga,65,77,0
"Dec 10, 2015",Limoges CSP,Olympiacos Piraeus,67,76,0
"Dec 11, 2015",Panathinaikos Athens,BC Zielona Góra,82,51,1
"Dec 11, 2015",Anadolu Efes Istanbul,Vitoria,95,86,1
"Dec 11, 2015",CSKA Moscow,Darussafaka,94,66,1
"Dec 11, 2015",Cedevita Zagreb,EA7 Milano,82,85,0
"Dec 11, 2015",FC Bayern München,Real Madrid,67,86,0
"Dec 11, 2015",Strasbourg,Khimki Moscow Region,69,78,0
"Dec 11, 2015",Fenerbahce BEKO,Crvena Zvezda Belgrade,79,61,1
"Dec 17, 2015",Khimki Moscow Region,Fenerbahce BEKO,68,70,0
"Dec 17, 2015",Vitoria,Cedevita Zagreb,92,70,1
"Dec 17, 2015",Brose Bamberg,Dinamo Sassari,86,54,1
"Dec 17, 2015",Darussafaka,Maccabi Tel Aviv,66,70,0
"Dec 17, 2015",Zalgiris Kaunas,Panathinaikos Athens,72,75,0
"Dec 17, 2015",Real Madrid,Strasbourg,97,65,1
"Dec 18, 2015",Unicaja Malaga,CSKA Moscow,76,88,0
"Dec 18, 2015",Olympiacos Piraeus,Anadolu Efes Istanbul,68,81,0
"Dec 18, 2015",Crvena Zvezda Belgrade,FC Bayern München,85,76,1
"Dec 18, 2015",Lokomotiv Kuban,FC Barcelona,78,74,1
"Dec 18, 2015",BC Zielona Góra,Pinar Karsiyaka,81,83,0
"Dec 18, 2015",EA7 Milano,Limoges CSP,69,77,0
"Dec 29, 2015",Real Madrid,Brose Bamberg,82,79,1
"Dec 29, 2015",Unicaja Malaga,Darussafaka,70,62,1
"Dec 29, 2015",Olympiacos Piraeus,FC Barcelona,74,62,1
"Dec 29, 2015",Anadolu Efes Istanbul,Crvena Zvezda Belgrade,85,84,1
"Dec 29, 2015",Khimki Moscow Region,CSKA Moscow,91,89,1
"Dec 29, 2015",Zalgiris Kaunas,Vitoria,68,89,0
"Dec 29, 2015",Cedevita Zagreb,Lokomotiv Kuban,75,89,0
"Dec 30, 2015",Fenerbahce BEKO,Panathinaikos Athens,82,75,1
"Jan 7, 2016",FC Barcelona,Khimki Moscow Region,87,70,1
"Jan 7, 2016",Vitoria,Olympiacos Piraeus,76,82,0
"Jan 7, 2016",Panathinaikos Athens,Unicaja Malaga,68,66,1
"Jan 7, 2016",Brose Bamberg,Zalgiris Kaunas,96,63,1
"Jan 7, 2016",Darussafaka,Cedevita Zagreb,72,79,0
"Jan 7, 2016",CSKA Moscow,Real Madrid,95,81,1
"Jan 7, 2016",Lokomotiv Kuban,Anadolu Efes Istanbul,78,77,1
"Jan 8, 2016",Crvena Zvezda Belgrade,Fenerbahce BEKO,65,88,0
"Jan 14, 2016",CSKA Moscow,FC Barcelona,93,82,1
"Jan 14, 2016",Real Madrid,Zalgiris Kaunas,92,86,1
"Jan 14, 2016",Unicaja Malaga,Cedevita Zagreb,90,67,1
"Jan 14, 2016",Panathinaikos Athens,Crvena Zvezda Belgrade,63,74,0
"Jan 14, 2016",Olympiacos Piraeus,Brose Bamberg,72,77,0
"Jan 14, 2016",Anadolu Efes Istanbul,Darussafaka,84,71,1
"Jan 14, 2016",Fenerbahce BEKO,Lokomotiv Kuban,85,79,1
"Jan 15, 2016",Khimki Moscow Region,Vitoria,76,68,1
"Jan 21, 2016",Vitoria,CSKA Moscow,81,71,1
"Jan 21, 2016",Real Madrid,FC Barcelona,86,87,0
"Jan 21, 2016",Lokomotiv Kuban,Panathinaikos Athens,76,67,1
"Jan 21, 2016",Cedevita Zagreb,Anadolu Efes Istanbul,84,80,1
"Jan 22, 2016",Darussafaka,Fenerbahce BEKO,100,106,0
"Jan 22, 2016",Crvena Zvezda Belgrade,Unicaja Malaga,87,73,1
"Jan 22, 2016",Khimki Moscow Region,Brose Bamberg,78,61,1
"Jan 22, 2016",Zalgiris Kaunas,Olympiacos Piraeus,75,55,1
"Jan 28, 2016",Fenerbahce BEKO,Cedevita Zagreb,86,73,1
"Jan 28, 2016",Real Madrid,Olympiacos Piraeus,84,72,1
"Jan 28, 2016",CSKA Moscow,Brose Bamberg,91,70,1
"Jan 29, 2016",FC Barcelona,Vitoria,78,81,0
"Jan 29, 2016",Unicaja Malaga,Anadolu Efes Istanbul,75,85,0
"Jan 29, 2016",Panathinaikos Athens,Darussafaka,82,79,1
"Jan 29, 2016",Crvena Zvezda Belgrade,Lokomotiv Kuban,80,66,1
"Jan 29, 2016",Khimki Moscow Region,Zalgiris Kaunas,111,80,1
"Feb 4, 2016",Unicaja Malaga,Lokomotiv Kuban,64,82,0
"Feb 4, 2016",Brose Bamberg,FC Barcelona,74,70,1
"Feb 4, 2016",Darussafaka,Crvena Zvezda Belgrade,69,66,1
"Feb 4, 2016",Cedevita Zagreb,Panathinaikos Athens,60,78,0
"Feb 5, 2016",Anadolu Efes Istanbul,Fenerbahce BEKO,73,77,0
"Feb 5, 2016",Real Madrid,Vitoria,68,77,0
